"ENTREZID"	"GO"	"ONTOLOGY"	"GENENAME"	"GOTERM"	"external_gene_name"	"Description_Ensembl"	"UniprotAcc"	"gene_name"	"persistent_id"	"name_PC"	"id_PC"	"Uniprot_ID"	"PANTHER_SF_ID"	"PANTHER_Family_name"	"PANTHER_SF_name"	"Description_NCBI"	"ALIAS"	"log2FoldChange"	"padj"
"106346047"	"GO:0009734"	"BP"	"auxin-responsive protein IAA18"	"auxin-activated signaling pathway"	"BnaA06g02010D"	"Auxin-responsive protein"	"A0A078GBW7"	NA	NA	NA	NA	"A0A078GBW7"	"PTHR31734:SF130"	"AUXIN-RESPONSIVE PROTEIN IAA17"	"AUXIN-RESPONSIVE PROTEIN IAA18"	"auxin-responsive protein IAA18"	"LOC106346047"	-1.23764802725999	0.00819494906981325
"106346047"	"GO:0006355"	"BP"	"auxin-responsive protein IAA18"	"regulation of DNA-templated transcription"	"BnaA06g02010D"	"Auxin-responsive protein"	"A0A078GBW7"	NA	NA	NA	NA	"A0A078GBW7"	"PTHR31734:SF130"	"AUXIN-RESPONSIVE PROTEIN IAA17"	"AUXIN-RESPONSIVE PROTEIN IAA18"	"auxin-responsive protein IAA18"	"LOC106346047"	-1.23764802725999	0.00819494906981325
"106346156"	"GO:0000226"	"BP"	"tubulin alpha-6 chain"	"microtubule cytoskeleton organization"	"BnaC06g03040D"	"Tubulin alpha chain"	"A0A078INH1"	NA	NA	NA	NA	NA	NA	NA	NA	"tubulin alpha-6 chain"	"LOC106346156"	1.56043434519966	1.4986524673534e-21
"106346156"	"GO:0007017"	"BP"	"tubulin alpha-6 chain"	"microtubule-based process"	"BnaC06g03040D"	"Tubulin alpha chain"	"A0A078INH1"	NA	NA	NA	NA	NA	NA	NA	NA	"tubulin alpha-6 chain"	"LOC106346156"	1.56043434519966	1.4986524673534e-21
"106346156"	"GO:0000278"	"BP"	"tubulin alpha-6 chain"	"mitotic cell cycle"	"BnaC06g03040D"	"Tubulin alpha chain"	"A0A078INH1"	NA	NA	NA	NA	NA	NA	NA	NA	"tubulin alpha-6 chain"	"LOC106346156"	1.56043434519966	1.4986524673534e-21
"106346177"	"GO:0006355"	"BP"	"NAC domain containing protein 52"	"regulation of DNA-templated transcription"	"BnaA01g31660D"	"BnaA01g31660D protein"	"A0A078HX70"	NA	NA	NA	NA	"A0A078HX70"	"PTHR31989:SF29"	"NAC DOMAIN-CONTAINING PROTEIN 82-RELATED"	"NAC DOMAIN CONTAINING PROTEIN 50-RELATED"	"NAC domain containing protein 52"	"LOC106346177"	1.69932395633149	2.17926198286998e-06
"106346527"	NA	NA	NA	NA	"BnaC03g48270D"	"BnaC03g48270D protein"	"A0A078F062"	NA	NA	NA	NA	"A0A078F062"	"PTHR31558:SF27"	"CW14 PROTEIN"	"DUF1336 DOMAIN-CONTAINING PROTEIN"	"uncharacterized BNAC03G48270D"	"BNAC03G48270D"	1.42830541326042	2.72028716127666e-08
"106346573"	"GO:0009617"	"BP"	"reticulon-like protein B1"	"response to bacterium"	"BnaC01g15350D"	"Reticulon-like protein"	"A0A078J4I4"	NA	NA	NA	NA	"A0A078J4I4"	"PTHR10994:SF160"	"RETICULON"	"RETICULON-LIKE PROTEIN"	"reticulon-like protein B1"	"LOC106346573"	1.21620669732038	2.2775395616352e-15
"106346627"	"GO:0030154"	"BP"	"phytosulfokines 5"	"cell differentiation"	"BnaC03g48770D"	"BnaC03g48770D protein"	"A0A078HIB5"	NA	NA	NA	NA	"A0A078HIB5"	"PTHR33285:SF30"	"PHYTOSULFOKINES 3"	"PHYTOSULFOKINES 5"	"phytosulfokines 5"	"LOC106346627"	-1.13763903616228	0.0318001216749978
"106346627"	"GO:0008283"	"BP"	"phytosulfokines 5"	"cell population proliferation"	"BnaC03g48770D"	"BnaC03g48770D protein"	"A0A078HIB5"	NA	NA	NA	NA	"A0A078HIB5"	"PTHR33285:SF30"	"PHYTOSULFOKINES 3"	"PHYTOSULFOKINES 5"	"phytosulfokines 5"	"LOC106346627"	-1.13763903616228	0.0318001216749978
"106346650"	NA	NA	NA	NA	"BnaA06g10220D"	"BnaA06g10220D protein"	"A0A078HGQ6"	NA	NA	NA	NA	"A0A078HGQ6"	"PTHR47929:SF66"	"DYW_DEAMINASE DOMAIN-CONTAINING PROTEIN"	"BNAA06G10220D PROTEIN"	"pentatricopeptide repeat-containing protein At1g15510, chloroplastic"	"LOC106346650"	-1.54608061484142	0.0366097234102545
"106346655"	"GO:0000387"	"BP"	"serine-threonine kinase receptor-associated protein"	"spliceosomal snRNP assembly"	"BnaA06g10180D"	"BnaA06g10180D protein"	"A0A078HDZ1"	NA	NA	NA	NA	"A0A078HDZ1"	"PTHR19877:SF11"	"EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT I"	"F9L1.42 PROTEIN"	"serine-threonine kinase receptor-associated protein"	"LOC106346655"	1.20064594954401	5.11418823032869e-09
"106346751"	NA	NA	NA	NA	"BnaA05g14000D"	"BnaA05g14000D protein"	"A0A078F578"	NA	NA	NA	NA	"A0A078F578"	"PTHR46666:SF10"	"60S RIBOSOMAL L18A-LIKE PROTEIN"	"RIBOSOMAL PROTEIN L18AE FAMILY"	"60S ribosomal protein L18a-like protein"	"LOC106346751"	1.2836969839048	0.000183295181600148
"106346755"	NA	NA	NA	NA	"BnaA06g11190D"	"BnaA06g11190D protein"	"A0A078HCB7"	NA	NA	NA	NA	"A0A078HCB7"	"PTHR12496:SF0"	"CGI-41 METHYLTRANSFERASE"	"METHYLTRANSFERASE-LIKE PROTEIN 25"	"probable methyltransferase-like protein 25"	"LOC106346755"	-1.03069022611513	0.00403052314891723
"106346786"	"GO:0035970"	"BP"	"probable protein phosphatase 2C 6"	"peptidyl-threonine dephosphorylation"	"BnaA06g10820D"	"BnaA06g10820D protein"	"A0A078HBD5"	NA	NA	NA	NA	"A0A078HBD5"	"PTHR47992:SF98"	"PROTEIN PHOSPHATASE"	"PROTEIN PHOSPHATASE 2C 6-RELATED"	"probable protein phosphatase 2C 6"	"LOC106346786"	-3.75366198850404	0.0318234340084372
"106346802"	NA	NA	NA	NA	"BnaA06g10570D"	"BnaA06g10570D protein"	"A0A078HBB4"	NA	NA	NA	NA	"A0A078HBB4"	"PTHR35462:SF2"	"FAMILY NOT NAMED"	"TRANSMEMBRANE PROTEIN"	"uncharacterized BNAA06G10570D"	"BNAA06G10570D"	1.01423657922719	0.0238706559879306
"106346935"	NA	NA	NA	NA	"BnaA06g13930D"	"BnaA06g13930D protein"	"A0A078GXS2"	NA	NA	NA	NA	"A0A078GXS2"	"PTHR31376:SF88"	"OS09G0467300 PROTEIN-RELATED"	"PURINE PERMEASE-RELATED"	"purine permease 14"	"LOC106346935"	2.0454223312203	5.55763254036946e-06
"106347048"	"GO:0006357"	"BP"	"basic leucine zipper 23"	"regulation of transcription by RNA polymerase II"	"BnaC09g09130D"	"BnaC09g09130D protein"	"A0A078GN66"	NA	NA	NA	NA	"A0A078GN66"	"PTHR23334:SF49"	"CCAAT/ENHANCER BINDING PROTEIN"	"BASIC LEUCINE ZIPPER 23"	"basic leucine zipper 23"	"BNAC09G09130D"	-1.02290900506186	0.00533872884515543
"106347084"	"GO:0046034"	"BP"	"V-type proton ATPase subunit B3"	"ATP metabolic process"	"BnaCnng20640D"	"BnaCnng20640D protein"	"A0A078IN27"	NA	NA	NA	NA	"A0A078IN27"	"PTHR43389:SF27"	"V-TYPE PROTON ATPASE SUBUNIT B"	"V-TYPE PROTON ATPASE SUBUNIT B2"	"V-type proton ATPase subunit B3"	"LOC106347084"	1.2529438314622	2.06218852531038e-14
"106347084"	"GO:0007035"	"BP"	"V-type proton ATPase subunit B3"	"vacuolar acidification"	"BnaCnng20640D"	"BnaCnng20640D protein"	"A0A078IN27"	NA	NA	NA	NA	"A0A078IN27"	"PTHR43389:SF27"	"V-TYPE PROTON ATPASE SUBUNIT B"	"V-TYPE PROTON ATPASE SUBUNIT B2"	"V-type proton ATPase subunit B3"	"LOC106347084"	1.2529438314622	2.06218852531038e-14
"106347085"	"GO:0055072"	"BP"	"zinc finger protein BRUTUS"	"iron ion homeostasis"	"BnaA01g26820D"	"BnaA01g26820D protein"	"A0A078G1P8"	NA	NA	NA	NA	"A0A078G1P8"	"PTHR21319:SF48"	"RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1"	"BNAA01G26820D PROTEIN"	"zinc finger protein BRUTUS"	"BNAA01G26820D"	1.5829063212942	4.64615048732631e-25
"106347085"	"GO:0016567"	"BP"	"zinc finger protein BRUTUS"	"protein ubiquitination"	"BnaA01g26820D"	"BnaA01g26820D protein"	"A0A078G1P8"	NA	NA	NA	NA	"A0A078G1P8"	"PTHR21319:SF48"	"RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1"	"BNAA01G26820D PROTEIN"	"zinc finger protein BRUTUS"	"BNAA01G26820D"	1.5829063212942	4.64615048732631e-25
"106347085"	"GO:0006511"	"BP"	"zinc finger protein BRUTUS"	"ubiquitin-dependent protein catabolic process"	"BnaA01g26820D"	"BnaA01g26820D protein"	"A0A078G1P8"	NA	NA	NA	NA	"A0A078G1P8"	"PTHR21319:SF48"	"RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1"	"BNAA01G26820D PROTEIN"	"zinc finger protein BRUTUS"	"BNAA01G26820D"	1.5829063212942	4.64615048732631e-25
"106347172"	NA	NA	NA	NA	"BnaA09g28480D"	"BnaA09g28480D protein"	"A0A078HWC7"	NA	NA	NA	NA	"A0A078HWC7"	"PTHR23131:SF0"	"ENDORIBONUCLEASE LACTB2"	"ENDORIBONUCLEASE LACTB2"	"uncharacterized BNAA09G28480D"	"BNAA09G28480D"	-1.10664928452604	1.62623734305341e-05
"106347227"	"GO:0006086"	"BP"	"pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial"	"acetyl-CoA biosynthetic process from pyruvate"	"BnaC06g31170D"	"Pyruvate dehydrogenase E1 component subunit alpha"	"A0A078FF64"	NA	NA	NA	NA	"A0A078FF64"	"PTHR11516:SF64"	"PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR"	"E1_DH DOMAIN-CONTAINING PROTEIN"	"pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial"	"LOC106347227"	1.21258536786665	1.60017955181462e-06
"106347227"	"GO:0006096"	"BP"	"pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial"	"glycolytic process"	"BnaC06g31170D"	"Pyruvate dehydrogenase E1 component subunit alpha"	"A0A078FF64"	NA	NA	NA	NA	"A0A078FF64"	"PTHR11516:SF64"	"PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR"	"E1_DH DOMAIN-CONTAINING PROTEIN"	"pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial"	"LOC106347227"	1.21258536786665	1.60017955181462e-06
"106347274"	NA	NA	NA	NA	"BnaC05g15840D"	"BnaC05g15840D protein"	"A0A078GYA7"	NA	NA	NA	NA	"A0A078GYA7"	"PTHR21450:SF19"	"UNCHARACTERIZED"	"F5M15.15"	"protein ALTERED PHOSPHATE STARVATION RESPONSE 1"	"BNAC05G15840D"	1.78594754884876	0.0218722773918011
"106347363"	NA	NA	NA	NA	"BnaA06g15210D"	"BnaA06g15210D protein"	"A0A078ILM3"	NA	NA	NA	NA	"A0A078ILM3"	"PTHR37182:SF2"	"F24J8.11 PROTEIN"	"F24J8.11 PROTEIN"	"uncharacterized LOC106347363"	"LOC106347363"	-4.24893444172751	0.0465493333562199
"106347499"	NA	NA	NA	NA	"BnaA05g19380D"	"BnaA05g19380D protein"	"A0A078GIX9"	NA	NA	NA	NA	NA	NA	NA	NA	"uncharacterized LOC106347499"	"LOC106347499"	-1.28606859896046	0.0111595256330432
"106347688"	"GO:0098542"	"BP"	"NDR1/HIN1-like protein 1"	"defense response to other organism"	"BnaAnng30660D"	"BnaAnng30660D protein"	"A0A078JPK7"	NA	NA	NA	NA	"A0A078JPK7"	"PTHR31415:SF121"	"OS05G0367900 PROTEIN"	"LEA_2 DOMAIN-CONTAINING PROTEIN"	"NDR1/HIN1-like protein 1"	"LOC106347688"	-2.17239316484515	0.00414320879287472
"106348026"	"GO:0071555"	"BP"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"cell wall organization"	"BnaA06g23700D"	"Cellulose synthase"	"A0A078F739"	"Cellulose synthase"	"PTN007609832"	"DNA-binding transcription factor"	"PC00218"	"A0A078F739"	"PTHR13301:SF159"	"X-BOX TRANSCRIPTION FACTOR-RELATED"	"CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 6 [UDP-FORMING]"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"LOC106348026"	1.10764632431545	3.08156295013079e-12
"106348026"	"GO:0030244"	"BP"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"cellulose biosynthetic process"	"BnaA06g23700D"	"Cellulose synthase"	"A0A078F739"	"Cellulose synthase"	"PTN007609832"	"DNA-binding transcription factor"	"PC00218"	"A0A078F739"	"PTHR13301:SF159"	"X-BOX TRANSCRIPTION FACTOR-RELATED"	"CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 6 [UDP-FORMING]"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"LOC106348026"	1.10764632431545	3.08156295013079e-12
"106348026"	"GO:0009833"	"BP"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"plant-type primary cell wall biogenesis"	"BnaA06g23700D"	"Cellulose synthase"	"A0A078F739"	"Cellulose synthase"	"PTN007609832"	"DNA-binding transcription factor"	"PC00218"	"A0A078F739"	"PTHR13301:SF159"	"X-BOX TRANSCRIPTION FACTOR-RELATED"	"CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 6 [UDP-FORMING]"	"cellulose synthase A catalytic subunit 6 [UDP-forming]"	"LOC106348026"	1.10764632431545	3.08156295013079e-12
"106348032"	"GO:0043086"	"BP"	"cell wall / vacuolar inhibitor of fructosidase 2"	"negative regulation of catalytic activity"	"BnaAnng30240D"	"BnaAnng30240D protein"	"A0A078JRF7"	NA	NA	NA	NA	"A0A078JRF7"	"PTHR31080:SF287"	"PECTINESTERASE INHIBITOR-LIKE"	"PMEI DOMAIN-CONTAINING PROTEIN"	"cell wall / vacuolar inhibitor of fructosidase 2"	"LOC106348032"	-3.78023442187491	0.0472383640498983
"106348065"	"GO:0009231"	"BP"	"bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic"	"riboflavin biosynthetic process"	"BnaA06g23420D"	"BnaA06g23420D protein"	"A0A078I1W3"	NA	NA	NA	NA	"A0A078I1W3"	"PTHR21327:SF18"	"GTP CYCLOHYDROLASE II-RELATED"	"3,4-DIHYDROXY-2-BUTANONE 4-PHOSPHATE SYNTHASE"	"bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic"	"LOC106348065"	1.02821287384519	5.14344918628039e-10
"106348172"	NA	NA	NA	NA	"BnaA06g24830D"	"BnaA06g24830D protein"	"A0A078F5P8"	"BnaA06g24830D protein"	"PTN007839534"	"RNA helicase"	"PC00032"	"A0A078F5P8"	"PTHR31096:SF7"	"ACT DOMAIN-CONTAINING PROTEIN ACR4-RELATED"	"ACT DOMAIN-CONTAINING PROTEIN ACR1"	"ACT domain-containing protein ACR1"	"LOC106348172"	1.28065276116258	4.04790863339771e-05
"106348179"	NA	NA	NA	NA	"BnaA06g24790D"	"BnaA06g24790D protein"	"A0A078F2L0"	"BnaA06g24790D protein"	"PTN008185555"	"RNA splicing factor"	"PC00148"	"A0A078F2L0"	"PTHR46128:SF58"	"MITOCHONDRIAL GROUP I INTRON SPLICING FACTOR CCM1"	"PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN"	"putative pentatricopeptide repeat-containing protein At5g65820"	"LOC106348179"	-1.10480603493467	0.00361725768608567
"106348397"	NA	NA	NA	NA	"BnaA04g17580D"	"BnaA04g17580D protein"	"A0A078GWY8"	NA	NA	NA	NA	"A0A078GWY8"	"PTHR32258:SF29"	"PROTEIN NETWORKED 4A"	"PROTEIN NETWORKED 4B"	"protein NETWORKED 4B"	"LOC106348397"	1.13773971595877	0.0272267197601324
"106348447"	NA	NA	NA	NA	"BnaC06g06820D"	"BnaC06g06820D protein"	"A0A078HGV2"	NA	NA	NA	NA	NA	NA	NA	NA	"uncharacterized BNAC06G06820D"	"BNAC06G06820D"	1.38555864737271	0.000241586059844818
"106348455"	"GO:0006996"	"BP"	"E3 ubiquitin-protein ligase SPL2"	"organelle organization"	"BnaC06g06940D"	"BnaC06g06940D protein"	"A0A078H3A1"	NA	NA	NA	NA	"A0A078H3A1"	"PTHR47355:SF1"	"E3 UBIQUITIN-PROTEIN LIGASE SPL2"	"E3 UBIQUITIN-PROTEIN LIGASE SPL2"	"E3 ubiquitin-protein ligase SPL2"	"LOC106348455"	1.24885498858208	4.86214759575963e-14
"106348540"	"GO:0015979"	"BP"	"photosystem I reaction center subunit VI-1, chloroplastic"	"photosynthesis"	"BnaA01g28200D"	"BnaA01g28200D protein"	"A0A078G5D6"	NA	NA	NA	NA	"A0A078G5D6"	"PTHR34787:SF5"	"PHOTOSYSTEM I REACTION CENTER SUBUNIT VI-2, CHLOROPLASTIC"	"BNAC01G35500D PROTEIN"	"photosystem I reaction center subunit VI-1, chloroplastic"	"LOC106348540"	-3.11615330326925	0.000997135456170072
"106348854"	"GO:0006886"	"BP"	"sec-independent protein translocase protein TATA, chloroplastic-like"	"intracellular protein transport"	"BnaC07g27450D"	"BnaC07g27450D protein"	"A0A078IGY9"	NA	NA	NA	NA	"A0A078IGY9"	"PTHR33162:SF6"	"SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATA, CHLOROPLASTIC"	"BNAC07G27450D PROTEIN"	"sec-independent protein translocase protein TATA, chloroplastic-like"	"LOC106348854"	-1.23366398057377	0.0110315742760977
"106348854"	"GO:0043953"	"BP"	"sec-independent protein translocase protein TATA, chloroplastic-like"	"protein transport by the Tat complex"	"BnaC07g27450D"	"BnaC07g27450D protein"	"A0A078IGY9"	NA	NA	NA	NA	"A0A078IGY9"	"PTHR33162:SF6"	"SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATA, CHLOROPLASTIC"	"BNAC07G27450D PROTEIN"	"sec-independent protein translocase protein TATA, chloroplastic-like"	"LOC106348854"	-1.23366398057377	0.0110315742760977
"106348979"	"GO:0005978"	"BP"	"glucose-1-phosphate adenylyltransferase small subunit, chloroplastic"	"glycogen biosynthetic process"	"BnaCnng59960D"	"Glucose-1-phosphate adenylyltransferase"	"A0A078JQC0"	NA	NA	NA	NA	"A0A078JQC0"	"PTHR43523:SF12"	"GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE-RELATED"	"GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE LARGE SUBUNIT 1, CHLOROPLASTIC-RELATED"	"glucose-1-phosphate adenylyltransferase small subunit, chloroplastic"	"LOC106348979"	1.05596295702405	2.36682641523502e-08
"106348979"	"GO:0019252"	"BP"	"glucose-1-phosphate adenylyltransferase small subunit, chloroplastic"	"starch biosynthetic process"	"BnaCnng59960D"	"Glucose-1-phosphate adenylyltransferase"	"A0A078JQC0"	NA	NA	NA	NA	"A0A078JQC0"	"PTHR43523:SF12"	"GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE-RELATED"	"GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE LARGE SUBUNIT 1, CHLOROPLASTIC-RELATED"	"glucose-1-phosphate adenylyltransferase small subunit, chloroplastic"	"LOC106348979"	1.05596295702405	2.36682641523502e-08
"106349044"	NA	NA	NA	NA	"BnaA09g13190D"	"Flavin-containing monooxygenase"	"A0A078FEY8"	NA	NA	NA	NA	"A0A078FEY8"	"PTHR23023:SF244"	"DIMETHYLANILINE MONOOXYGENASE"	"FLAVIN-CONTAINING MONOOXYGENASE FMO GS-OX1-RELATED"	"flavin-containing monooxygenase FMO GS-OX2"	"LOC106349044"	-3.25015923997006	0.000277361460910733
"106349218"	NA	NA	NA	NA	"BnaA01g32940D"	"BnaA01g32940D protein"	"A0A078K066"	NA	NA	NA	NA	NA	NA	NA	NA	"S-adenosylmethionine decarboxylase proenzyme 3-like"	"LOC106349218"	1.43622711969216	2.65720824644381e-07
"106349237"	"GO:0009768"	"BP"	"chlorophyll a-b binding protein 2.4, chloroplastic"	"photosynthesis, light harvesting in photosystem I"	"BnaA06g31910D"	"Chlorophyll a-b binding protein, chloroplastic"	"A0A078FL68"	NA	NA	NA	NA	"A0A078FL68"	"PTHR21649:SF143"	"CHLOROPHYLL A/B BINDING PROTEIN"	"CHLOROPHYLL A-B BINDING PROTEIN 2.4, CHLOROPLASTIC"	"chlorophyll a-b binding protein 2.4, chloroplastic"	"LOC106349237"	-1.40057177755599	0.0455499464604743
"106349237"	"GO:0009416"	"BP"	"chlorophyll a-b binding protein 2.4, chloroplastic"	"response to light stimulus"	"BnaA06g31910D"	"Chlorophyll a-b binding protein, chloroplastic"	"A0A078FL68"	NA	NA	NA	NA	"A0A078FL68"	"PTHR21649:SF143"	"CHLOROPHYLL A/B BINDING PROTEIN"	"CHLOROPHYLL A-B BINDING PROTEIN 2.4, CHLOROPLASTIC"	"chlorophyll a-b binding protein 2.4, chloroplastic"	"LOC106349237"	-1.40057177755599	0.0455499464604743
"106349309"	NA	NA	NA	NA	"BnaA01g29080D"	"BnaA01g29080D protein"	"A0A078G3X4"	NA	NA	NA	NA	"A0A078G3X4"	"PTHR31104:SF1"	"PEPTIDE-N4-(N-ACETYL-BETA-GLUCOSAMINYL)ASPARAGINE AMIDASE A PROTEIN"	"PEPTIDE-N4-(N-ACETYL-BETA-GLUCOSAMINYL)ASPARAGINE AMIDASE A PROTEIN"	"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A"	"LOC106349309"	-3.79427159623373	2.36663357732924e-05
"106349326"	NA	NA	NA	NA	"BnaA06g32760D"	"BnaA06g32760D protein"	"A0A078FKY4"	NA	NA	NA	NA	"A0A078FKY4"	"PTHR31301:SF120"	"LOB DOMAIN-CONTAINING PROTEIN 4-RELATED"	"LOB DOMAIN-CONTAINING PROTEIN 23-RELATED"	"LOB domain-containing protein 23"	"LOC106349326"	3.42692880428042	0.0428780459155461
"106349333"	NA	NA	NA	NA	"BnaA06g32850D"	"BnaA06g32850D protein"	"A0A078FMR6"	NA	NA	NA	NA	"A0A078FMR6"	"PTHR31066:SF75"	"OS05G0427100 PROTEIN-RELATED"	"PB1 DOMAIN-CONTAINING PROTEIN"	"uncharacterized BNAA06G32850D"	"BNAA06G32850D"	-2.68736651250896	0.0477641025420983
