external_gene_name	Description_Ensembl	UniprotAcc
BnaAnng34920D	BnaAnng34920D protein (Fragment)	A0A078JWJ7
BnaC08g46550D	BnaC08g46550D protein	A0A078J477
BnaC08g46540D	BnaC08g46540D protein	A0A078J0K9
BnaC08g46570D	BnaC08g46570D protein	A0A078J6A3
BnaC08g46560D	BnaC08g46560D protein	A0A078J449
BnaCnng59560D	BnaCnng59560D protein	A0A078JT09
BnaCnng59550D	BnaCnng59550D protein	A0A078JSE0
BnaAnng09890D	BnaAnng09890D protein	A0A078IFD2
BnaAnng09860D	BnaAnng09860D protein	A0A078IEJ2
BnaAnng09870D	BnaAnng09870D protein	A0A078IEL3
BnaAnng09840D	BnaAnng09840D protein	A0A078IGD0
BnaAnng09800D	BnaAnng09800D protein	A0A078IC59
BnaAnng09850D	BnaAnng09850D protein	A0A078IC63
BnaAnng09820D	BnaAnng09820D protein	A0A078IEK8
BnaAnng09900D	BnaAnng09900D protein	A0A078IC69
BnaAnng09880D	BnaAnng09880D protein	A0A078IH55
BnaAnng09810D	BnaAnng09810D protein	A0A078IEI8
BnaAnng09830D	BnaAnng09830D protein	A0A078IH48
BnaC07g48680D	BnaC07g48680D protein	A0A078JF13
BnaA09g10370D	BnaA09g10370D protein	A0A078HMM7
BnaA09g10530D	BnaA09g10530D protein	A0A078HQ90
BnaA09g10690D	BnaA09g10690D protein	A0A078HPN1
BnaA09g10220D	BnaA09g10220D protein	A0A078HML3
BnaA09g10550D	BnaA09g10550D protein	A0A078HSS7
BnaA09g10280D	BnaA09g10280D protein	A0A078HQ72
BnaA09g10450D	BnaA09g10450D protein	A0A078EPX5
BnaA09g10520D	BnaA09g10520D protein	A0A078HMP1
BnaA09g10560D	BnaA09g10560D protein	A0A078HR57
BnaA09g10400D	BnaA09g10400D protein	A0A078HSR2
BnaA09g10650D	BnaA09g10650D protein	A0A078HST4
BnaA09g10610D	BnaA09g10610D protein	A0A078HR62
BnaA09g10330D	BnaA09g10330D protein	A0A078HQ76
BnaA09g10200D	BnaA09g10200D protein	A0A078HSP3
BnaA09g10140D	Defensin-like protein 172	P82774
BnaA09g10180D	BnaA09g10180D protein	A0A078HQ64
BnaA09g10640D	BnaA09g10640D protein	A0A078HPM7
BnaA09g10350D	BnaA09g10350D protein	A0A078HSQ8
BnaA09g10160D	BnaA09g10160D protein	A0A078HR17
BnaA09g10410D	BnaA09g10410D protein	A0A078HR39
BnaA09g10660D	Aspartate aminotransferase	A0A078HR67
BnaA09g10210D	BnaA09g10210D protein	A0A078HR23
BnaA09g10500D	BnaA09g10500D protein	A0A078HSS2
BnaA09g10570D	BnaA09g10570D protein	A0A078HMP6
BnaA09g10700D	BnaA09g10700D protein	A0A078HST9
BnaA09g10120D	BnaA09g10120D protein	A0A078HMK3
BnaA09g10130D	BnaA09g10130D protein	A0A078HQ60
BnaA09g10340D	Diacylglycerol kinase	A0A078HPK0
BnaA09g10430D	BnaA09g10430D protein	A0A078HQ82
BnaA09g10300D	BnaA09g10300D protein	A0A078HSQ3
BnaA09g10260D	BnaA09g10260D protein	A0A078HR27
BnaA09g10420D	BnaA09g10420D protein	A0A078HMN2
BnaA09g10680D	BnaA09g10680D protein	A0A078HQA1
BnaA09g10390D	Cytochrome b561 and DOMON domain-containing protein	A0A078HPK6
BnaA09g10510D	BnaA09g10510D protein	A0A078HR50
BnaA09g10240D	BnaA09g10240D protein	A0A078HPI9
BnaA09g10630D	BnaA09g10630D protein	A0A078HQ97
BnaA09g10580D	BnaA09g10580D protein	A0A078HQ93
BnaA09g10250D	BnaA09g10250D protein	A0A078HSP7
BnaA09g10320D	BnaA09g10320D protein	A0A078HMM2
BnaA09g10440D	BnaA09g10440D protein	A0A078HPL0
BnaA09g10190D	BnaA09g10190D protein	A0A078HPI5
BnaA09g10230D	BnaA09g10230D protein	A0A078HQ67
BnaA09g10470D	BnaA09g10470D protein	A0A078HMN7
BnaA09g10480D	BnaA09g10480D protein	A0A078HQ87
BnaA09g10620D	BnaA09g10620D protein	A0A078HMQ0
BnaA09g10310D	BnaA09g10310D protein	A0A078HR31
BnaA09g10290D	BnaA09g10290D protein	A0A078HPJ5
BnaA09g10380D	BnaA09g10380D protein	A0A078HQ78
BnaA09g10490D	BnaA09g10490D protein	A0A078HPL4
BnaA09g10360D	BnaA09g10360D protein	A0A078HR34
BnaA09g10460D	BnaA09g10460D protein	A0A078HR45
BnaA09g10670D	BnaA09g10670D protein	A0A078HMQ5
BnaA09g10270D	BnaA09g10270D protein	A0A078HML7
BnaA09g10600D	BnaA09g10600D protein	A0A078HST1
BnaA09g10590D	BnaA09g10590D protein	A0A078HPM1
BnaA09g10540D	Flavin-containing monooxygenase	A0A078HPL7
BnaA09g10150D	BnaA09g10150D protein	A0A078HSP0
BnaA09g10710D	BnaA09g10710D protein	A0A078HR74
BnaA09g10170D	BnaA07g28590D protein	A0A078HLM2
BnaCnng51470D	BnaCnng51470D protein	A0A078JG23
BnaCnng51480D	BnaCnng51480D protein	A0A078JIM6
BnaCnng30960D	BnaCnng30960D protein	A0A078IXL2
BnaCnng31040D	BnaCnng31040D protein	A0A078J2Z4
BnaCnng30970D	BnaCnng30970D protein	A0A078J0N7
BnaCnng30990D	BnaCnng30990D protein	A0A078J2Z0
BnaCnng31030D	BnaCnng31030D protein	A0A078J0X1
BnaCnng31010D	BnaCnng31010D protein	A0A078IXL9
BnaCnng31060D	BnaCnng31060D protein	A0A078IXM4
BnaCnng31050D	BnaA07g37750D protein	A0A078FJC0
BnaCnng30980D	BnaCnng30980D protein	A0A078J0W7
BnaCnng31000D	BnaCnng31000D protein	A0A078J371
BnaCnng31020D	BnaCnng31020D protein	A0A078J0P2
BnaCnng30950D	BnaCnng30950D protein	A0A078J366
BnaA09g34850D	Chalcone-flavonone isomerase family protein	A0A078HTX6
BnaA09g35210D	BnaA09g35210D protein	A0A078HSG1
BnaA09g34960D	BnaA09g34960D protein	A0A078HSE0
BnaA09g34830D	BnaA09g34830D protein	A0A078HR79
BnaA09g35160D	BnaA09g35160D protein	A0A078HSF7
BnaA09g35260D	BnaA09g35260D protein	A0A078HSG6
BnaA09g35150D	Expansin	A0A078HU09
BnaA09g35170D	BnaA09g35170D protein	A0A078HNV2
BnaA09g34910D	BnaA09g34910D protein	A0A078HSD5
BnaA09g34790D	BnaA09g34790D protein (Fragment)	A0A078HQS9
BnaA09g34820D	BnaA09g34820D protein	A0A078HNS6
BnaA09g34800D	BnaA09g34800D protein	A0A078HTX1
BnaA09g34940D	BnaA09g34940D protein	A0A078HQU5
BnaA09g35190D	BnaA09g35190D protein	A0A078HQW7
BnaA09g35020D	BnaA09g35020D protein	A0A078HNT9
BnaA09g35240D	Eukaryotic translation initiation factor 6	A0A078HQX3
BnaA09g34810D	BnaA09g34810D protein	A0A078HSC6
BnaA09g35250D	Folylpolyglutamate synthase	A0A078HU15
BnaA09g35120D	BnaA09g35120D protein	A0A078HNU8
BnaA09g35000D	BnaA09g35000D protein	A0A078HTZ0
BnaA09g35280D	BnaA09g35280D protein	A0A078HRB7
BnaA09g34990D	BnaA09g34990D protein	A0A078HQU9
BnaA09g34880D	BnaA09g34880D protein	A0A078HR83
BnaA09g35110D	BnaA09g35110D protein	A0A078HSF2
BnaA09g34840D	Chalcone-flavonone isomerase family protein	A0A078HQT5
BnaA09g34900D	BnaA09g34900D protein	A0A078HTY2
BnaA09g35010D	BnaA09g35010D protein	A0A078HSE4
BnaA09g34950D	BnaA09g34950D protein	A0A078HTY7
BnaA09g34930D	BnaA09g34930D protein	A0A078HR88
BnaA09g34920D	BnaA09g34920D protein	A0A078HNT2
BnaA09g35100D	BnaA09g35100D protein	A0A078HU03
BnaA09g35070D	BnaA09g35070D protein	A0A078HNU3
BnaA09g34970D	CASP-like protein	A0A078HNT6
BnaA09g34860D	Exocyst subunit Exo70 family protein	A0A078HSD1
BnaA09g35040D	BnaA09g35040D protein	A0A078HQV3
BnaA09g35220D	BnaA09g35220D protein	A0A078HNV5
BnaA09g34870D	BnaA09g34870D protein	A0A078HNS9
BnaA09g35200D	BnaA09g35200D protein	A0A078HU13
BnaA09g35030D	BnaA09g35030D protein	A0A078HR96
BnaA09g35140D	BnaA09g35140D protein	A0A078HQW2
BnaA09g35130D	BnaA09g35130D protein	A0A078HRA4
BnaA09g35060D	AP-3 complex subunit beta	A0A078HSE8
BnaA09g35090D	BnaA09g35090D protein	A0A078HQV6
BnaA09g34980D	BnaA09g34980D protein	A0A078HR92
BnaA09g35230D	Delta-1-pyrroline-5-carboxylate synthase	Q9AXN3
BnaA09g34890D	BnaA09g34890D protein	A0A078HQU0
BnaA09g35050D	BnaA09g35050D protein	A0A078HTZ7
BnaA09g35270D	BnaA09g35270D protein	A0A078HNW0
BnaA09g35080D	BnaA09g35080D protein	A0A078HRA0
BnaA09g35180D	Peptidylprolyl isomerase	A0A078HRA9
BnaC03g00390D		NA
BnaC03g03740D		NA
BnaC03g02550D		NA
BnaC03g03030D		NA
BnaC03g02250D		NA
BnaC03g00140D		NA
BnaC03g03590D		NA
BnaC03g00220D		NA
BnaC03g00740D	BnaA03g54850D protein	A0A078IYQ5
BnaC03g03880D		NA
BnaC03g02930D		NA
BnaC03g01870D		NA
BnaC03g02320D		NA
BnaC03g03550D		NA
BnaC03g02990D		NA
BnaC03g00250D		NA
BnaC03g01500D		NA
BnaC03g02740D		NA
BnaC03g00710D		NA
BnaC03g02400D		NA
BnaC03g03890D		NA
BnaC03g01220D		NA
BnaC03g00840D		NA
BnaC03g00410D		NA
BnaC03g03080D		NA
BnaC03g01250D		NA
BnaC03g04360D		NA
BnaC03g01890D		NA
BnaC03g02940D		NA
BnaC03g01350D		NA
BnaC03g03120D		NA
BnaC03g04330D		NA
BnaC03g03530D		NA
BnaC03g03840D		NA
BnaC03g00820D		NA
BnaC03g03300D		NA
BnaC03g00110D		NA
BnaC03g03720D		NA
BnaC03g01630D		NA
BnaC03g02430D		NA
BnaC03g01910D		NA
BnaC03g04250D	BnaA02g30070D protein	A0A078IFE3
BnaC03g01480D		NA
BnaC03g03810D		NA
BnaC03g01300D		NA
BnaC03g03490D		NA
BnaC03g02640D		NA
BnaC03g02670D		NA
BnaC03g02540D		NA
BnaC03g01000D		NA
BnaC03g00790D		NA
BnaC03g00430D		NA
BnaC03g02340D		NA
BnaC03g01730D		NA
BnaC03g02700D		NA
BnaC03g02900D		NA
BnaC03g00760D		NA
BnaC03g02100D		NA
BnaC03g01680D		NA
BnaC03g00610D		NA
BnaC03g01340D		NA
BnaC03g02630D		NA
BnaC03g00240D		NA
BnaC03g02850D		NA
BnaC03g01660D		NA
BnaC03g00320D		NA
BnaC03g02770D		NA
BnaC03g03500D		NA
BnaC03g02350D		NA
BnaC03g04230D		NA
BnaC03g04020D		NA
BnaC03g00360D		NA
BnaC03g00150D		NA
BnaC03g02290D		NA
BnaC03g02270D		NA
BnaC03g02690D		NA
BnaC03g00420D		NA
BnaC03g03400D		NA
BnaC03g01200D		NA
BnaC03g02600D		NA
BnaC03g03110D		NA
BnaC03g01670D		NA
BnaC03g01510D		NA
BnaC03g02730D		NA
BnaC03g00040D		NA
BnaC03g02720D		NA
BnaC03g02580D		NA
BnaC03g03570D		NA
BnaC03g00170D		NA
BnaC03g01230D		NA
BnaC03g00500D		NA
BnaC03g01700D		NA
BnaC03g03860D		NA
BnaC03g00870D		NA
BnaC03g04080D		NA
BnaC03g03010D		NA
BnaC03g03060D		NA
BnaC03g04190D		NA
BnaC03g01420D		NA
BnaC03g03410D		NA
BnaC03g01590D	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT5G04150
BnaC03g02300D		NA
BnaC03g00890D		NA
BnaC03g01140D		NA
BnaC03g02380D		NA
BnaC03g00580D		NA
BnaC03g02750D		NA
BnaC03g00830D		NA
BnaC03g00340D		NA
BnaC03g02860D		NA
BnaC03g03940D	BnaA03g55890D protein	A0A078J2R9
BnaC03g01760D		NA
BnaC03g00100D		NA
BnaC03g02150D		NA
BnaC03g03380D		NA
BnaC03g03990D		NA
BnaC03g01090D		NA
BnaC03g01430D		NA
BnaC03g01440D		NA
BnaC03g02800D		NA
BnaC03g04220D		NA
BnaC03g03830D		NA
BnaC03g00780D		NA
BnaC03g03620D		NA
BnaC03g02120D	BnaC03g77440D protein	A0A078IQZ4
BnaC03g00650D		NA
BnaC03g04290D		NA
BnaC03g00200D		NA
BnaC03g00070D		NA
BnaC03g03280D		NA
BnaC03g03780D		NA
BnaC03g03800D		NA
BnaC03g03820D		NA
BnaC03g01370D		NA
BnaC03g02070D		NA
BnaC03g02660D		NA
BnaC03g02950D		NA
BnaC03g01390D		NA
BnaC03g00130D		NA
BnaC03g02000D		NA
BnaC03g00080D		NA
BnaC03g02560D		NA
BnaC03g03270D		NA
BnaC03g02020D		NA
BnaC03g03640D		NA
BnaC03g03470D		NA
BnaC03g03560D		NA
BnaC03g02520D		NA
BnaC03g02370D		NA
BnaC03g01400D		NA
BnaC03g02590D		NA
BnaC03g04040D		NA
BnaC03g00810D		NA
BnaC03g04140D		NA
BnaC03g04060D		NA
BnaC03g03850D		NA
BnaC03g01120D		NA
BnaC03g00850D		NA
BnaC03g01990D		NA
BnaC03g01980D		NA
BnaC03g04210D		NA
BnaC03g02450D		NA
BnaC03g01130D		NA
BnaC03g00570D		NA
BnaC03g03650D		NA
BnaC03g01560D		NA
BnaC03g00950D	Mediator of RNA polymerase II transcription subunit 4	A0A178UPY5
BnaC03g01600D		NA
BnaC03g00030D		NA
BnaC03g01620D		NA
BnaC03g00310D		NA
BnaC03g00720D	ATP-dependent DNA helicase	A0A078JWF4
BnaC03g02840D		NA
BnaC03g00230D		NA
BnaC03g03220D		NA
BnaC03g01780D		NA
BnaC03g02980D		NA
BnaC03g01820D		NA
BnaC03g03520D		NA
BnaC03g02330D		NA
BnaC03g03770D		NA
BnaC03g00590D		NA
BnaC03g01960D		NA
BnaC03g03130D		NA
BnaC03g01310D		NA
BnaC03g02360D		NA
BnaC03g03200D		NA
BnaC03g00350D		NA
BnaC03g03630D		NA
BnaC03g04260D		NA
BnaC03g00010D		NA
BnaC03g03660D		NA
BnaC03g00510D		NA
BnaC03g04100D		NA
BnaC03g02680D		NA
BnaC03g03900D		NA
BnaC03g00660D		NA
BnaC03g02480D		NA
BnaC03g00160D		NA
BnaC03g01020D		NA
BnaC03g00670D	BnaA03g54920D protein	A0A078D0C3
BnaC03g00920D		NA
BnaC03g03790D		NA
BnaC03g01580D		NA
BnaC03g02920D		NA
BnaC03g02960D		NA
BnaC03g03090D		NA
BnaC03g04120D		NA
BnaC03g02160D		NA
BnaC03g01930D		NA
BnaC03g01060D		NA
BnaC03g03450D		NA
BnaC03g03430D		NA
BnaC03g04200D		NA
BnaC03g02650D		NA
BnaC03g03170D		NA
BnaC03g00770D		NA
BnaC03g01950D		NA
BnaC03g03330D		NA
BnaC03g00690D		NA
BnaC03g04320D		NA
BnaC03g03240D		NA
BnaC03g02830D		NA
BnaC03g01840D		NA
BnaC03g01610D		NA
BnaC03g00180D		NA
BnaC03g01570D		NA
BnaC03g00600D		NA
BnaC03g02080D		NA
BnaC03g00560D		NA
BnaC03g03920D		NA
BnaC03g02890D		NA
BnaC03g01900D		NA
BnaC03g04300D		NA
BnaC03g01650D		NA
BnaC03g00640D		NA
BnaC03g03610D		NA
BnaC03g04090D		NA
BnaC03g02420D		NA
BnaC03g00190D		NA
BnaC03g00910D		NA
BnaC03g01520D		NA
BnaC03g02470D		NA
BnaC03g00880D		NA
BnaC03g04240D		NA
BnaC03g04110D		NA
BnaC03g00330D		NA
BnaC03g01150D		NA
BnaC03g04280D		NA
BnaC03g03250D		NA
BnaC03g04000D		NA
BnaC03g03000D		NA
BnaC03g02030D		NA
BnaC03g04180D		NA
BnaC03g02130D		NA
BnaC03g02870D		NA
BnaC03g01240D		NA
BnaC03g03150D		NA
BnaC03g01050D		NA
BnaC03g00480D		NA
BnaC03g01940D		NA
BnaC03g04370D		NA
BnaC03g02170D		NA
BnaC03g03680D		NA
BnaC03g00020D		NA
BnaC03g04130D		NA
BnaC03g01790D		NA
BnaC03g01460D		NA
BnaC03g03310D		NA
BnaC03g01640D		NA
BnaC03g02040D		NA
BnaC03g01410D		NA
BnaC03g03390D		NA
BnaC03g01320D		NA
BnaC03g01530D		NA
BnaC03g01010D	BnaA03g00720D protein	A0A078CVS8
BnaC03g00530D		NA
BnaC03g01290D		NA
BnaC03g03930D		NA
BnaC03g02440D		NA
BnaC03g02010D		NA
BnaC03g01030D		NA
BnaC03g01750D		NA
BnaC03g00550D		NA
BnaC03g01110D		NA
BnaC03g02210D		NA
BnaC03g02490D		NA
BnaC03g03160D		NA
BnaC03g00860D		NA
BnaC03g01540D		NA
BnaC03g00620D		NA
BnaC03g04160D		NA
BnaC03g01550D		NA
BnaC03g02880D		NA
BnaC03g03960D		NA
BnaC03g03290D		NA
BnaC03g03970D		NA
BnaC03g00400D		NA
BnaC03g01690D		NA
BnaC03g02790D		NA
BnaC03g01070D		NA
BnaC03g00280D		NA
BnaC03g03350D		NA
BnaC03g01970D		NA
BnaC03g03510D		NA
BnaC03g04350D		NA
BnaC03g03670D		NA
BnaC03g03050D		NA
BnaC03g00450D		NA
BnaC03g00750D		NA
BnaC03g03140D		NA
BnaC03g04310D		NA
BnaC03g00370D		NA
BnaC03g02610D		NA
BnaC03g01360D		NA
BnaC03g03580D		NA
BnaC03g00800D		NA
BnaC03g01490D		NA
BnaC03g01100D		NA
BnaC03g03260D		NA
BnaC03g00700D		NA
BnaC03g02780D		NA
BnaC03g04150D		NA
BnaC03g01740D		NA
BnaC03g03980D		NA
BnaC03g01280D		NA
BnaC03g02760D		NA
BnaC03g03190D		NA
BnaC03g00990D		NA
BnaC03g01850D		NA
BnaC03g01830D		NA
BnaC03g02060D		NA
BnaC03g00460D		NA
BnaC03g01800D		NA
BnaC03g02310D		NA
BnaC03g03460D		NA
BnaC03g03440D		NA
BnaC03g03480D		NA
BnaC03g02280D		NA
BnaC03g03870D		NA
BnaC03g00980D		NA
BnaC03g00210D		NA
BnaC03g03760D		NA
BnaC03g01710D		NA
BnaC03g00270D		NA
BnaC03g01170D		NA
BnaC03g00680D		NA
BnaC03g03750D		NA
BnaC03g02140D		NA
BnaC03g02260D		NA
BnaC03g00520D		NA
BnaC03g02230D		NA
BnaC03g00290D		NA
BnaC03g02200D		NA
BnaC03g03040D		NA
BnaC03g04010D		NA
BnaC03g03020D		NA
BnaC03g03320D		NA
BnaC03g00300D		NA
BnaC03g02190D		NA
BnaC03g02050D		NA
BnaC03g04340D		NA
BnaC03g00470D		NA
BnaC03g00090D		NA
BnaC03g00930D		NA
BnaC03g01810D		NA
BnaC03g03540D		NA
BnaC03g02910D		NA
BnaC03g03700D		NA
BnaC03g01920D		NA
BnaC03g03710D		NA
BnaC03g03370D		NA
BnaC03g00260D		NA
BnaC03g02110D		NA
BnaC03g02390D		NA
BnaC03g01380D		NA
BnaC03g02410D		NA
BnaC03g01040D		NA
BnaC03g03600D		NA
BnaC03g02530D		NA
BnaC03g03210D		NA
BnaC03g03910D		NA
BnaC03g01770D		NA
BnaC03g01470D		NA
BnaC03g00490D		NA
BnaC03g01190D		NA
BnaC03g02180D		NA
BnaC03g00970D		NA
BnaC03g02970D		NA
BnaC03g02090D		NA
BnaC03g02220D		NA
BnaC03g02510D		NA
BnaC03g00960D		NA
BnaC03g02710D		NA
BnaC03g03730D		NA
BnaC03g01860D		NA
BnaC03g02810D		NA
BnaC03g04070D		NA
BnaC03g00730D		NA
BnaC03g00630D		NA
BnaC03g01270D		NA
BnaC03g00120D		NA
BnaC03g04270D		NA
BnaC03g04170D		NA
BnaC03g01160D		NA
BnaC03g01330D		NA
BnaC03g00050D		NA
BnaC03g02460D		NA
BnaC03g02240D		NA
BnaC03g00060D		NA
BnaC03g01260D		NA
BnaC03g02570D		NA
BnaC03g03950D		NA
BnaC03g03690D		NA
BnaC03g02500D		NA
BnaC03g03420D		NA
BnaC03g02620D		NA
BnaC03g04050D		NA
BnaC03g01880D		NA
BnaC03g00940D		NA
BnaC03g01450D	BnaA03g01080D protein	A0A078CUQ3
BnaC03g01080D		NA
BnaC03g03100D		NA
BnaC03g03230D		NA
BnaC03g01720D		NA
BnaC03g03360D		NA
BnaC03g04030D		NA
BnaC03g00380D		NA
BnaC03g01210D		NA
BnaC03g03340D		NA
BnaC03g00440D		NA
BnaC03g00540D		NA
BnaC03g00900D		NA
BnaC03g01180D		NA
BnaC03g03180D		NA
BnaC03g03070D		NA
BnaC03g02820D		NA
BnaA08g30490D	BnaA08g30490D protein	A0A078H0Y0
BnaA08g30460D	BnaA08g30460D protein	A0A078ITU4
BnaA08g30440D	BnaA08g30440D protein	A0A078IZJ5
BnaA08g30450D	BnaA08g30450D protein	A0A078IZ20
BnaA08g30470D	BnaA08g30470D protein	A0A078IX21
BnaA08g30410D	BnaA08g30410D protein	A0A078ITR3
BnaA08g30390D	BnaA08g30390D protein	A0A078IZG4
BnaA08g30480D	BnaA08g30480D protein	A0A078IWZ5
BnaA08g30430D	BnaA08g30430D protein	A0A078IWZ4
BnaA08g30420D	BnaA08g30420D protein	A0A078IX03
BnaA08g30400D	BnaA08g30400D protein	A0A078IYZ3
BnaCnng67120D	BnaCnng67120D protein	A0A078JXF2
BnaCnng67110D	BnaCnng67110D protein	A0A078JUP3
BnaCnng34390D	BnaCnng34390D protein	A0A078J4U0
BnaCnng34380D	BnaCnng34380D protein (Fragment)	A0A078J4Y5
BnaCnng57030D	BnaCnng57030D protein (Fragment)	A0A078JQI9
BnaA04g27820D	BnaA04g27820D protein	A0A078JPH6
BnaA01g36830D	BnaA01g36830D protein	A0A078J6P4
BnaA01g36850D	BnaA01g36850D protein	A0A078J923
BnaA01g36800D	Peptidyl-prolyl cis-trans isomerase	A0A078J917
BnaA01g36790D	Peptidyl-prolyl cis-trans isomerase	A0A078J726
BnaA01g36840D	BnaA01g36840D protein	A0A078J732
BnaA01g36780D	BnaA01g36780D protein	A0A078J6P0
BnaA01g36860D	BnaA01g36860D protein	A0A078J9H9
BnaA01g36820D	BnaA01g36820D protein	A0A078J3B8
BnaA01g36810D	BnaA01g36810D protein	A0A078J9H5
BnaC01g44360D	BnaC01g44360D protein	A0A078JPD4
BnaC01g44350D	BnaC01g44350D protein	A0A078JMC0
BnaCnng35420D	BnaCnng35420D protein	A0A078J8I3
BnaCnng35430D	Pentatricopeptide repeat-containing protein At1g74630	Q9CA54
BnaCnng35450D	BnaCnng35450D protein (Fragment)	A0A078J5V7
BnaCnng35440D	BnaCnng35440D protein	A0A078J5T6
BnaAnng19240D	BnaAnng19240D protein	A0A078JG26
BnaAnng19230D	BnaAnng19230D protein	A0A078JF77
BnaC04g55370D	Pectinesterase	A0A078J6X2
BnaC04g55360D	BnaC04g55360D protein	A0A078J6K6
BnaAnng26260D	BnaAnng26260D protein	A0A078JMV0
BnaAnng26250D	BnaAnng26250D protein	A0A078CZW3
BnaAnng26270D	18.5 kDa class IV heat shock protein	O64564
BnaC05g50060D	BnaC05g50060D protein	A0A078JEC2
BnaC05g50080D	BnaC05g50080D protein	A0A078JH53
BnaC05g50070D	BnaC05g50070D protein	A0A078JEY9
BnaC05g50040D	BnaC05g50040D protein	A0A078JHZ0
BnaC05g50050D	BnaC05g50050D protein	A0A078JBN8
BnaAnng41370D	BnaAnng41370D protein	A0A078K437
BnaCnng60580D	BnaCnng60580D protein (Fragment)	A0A078JQV2
BnaCnng69880D	BnaCnng69880D protein (Fragment)	A0A078JWM9
BnaUnng04670D	BnaUnng04670D protein	A0A078JZP0
BnaUnng00820D	BnaC09g29120D protein	A0A078G2W2
BnaUnng00850D	BnaUnng00850D protein	A0A078JC74
BnaUnng00840D	BnaC09g29090D protein	A0A078G5I4
BnaUnng00880D	BnaUnng00880D protein	A0A078J915
BnaUnng00830D	BnaUnng00830D protein	A0A078J910
BnaUnng00860D	BnaC09g29260D protein	A0A078E1E5
BnaUnng00800D	BnaUnng00800D protein	A0A078JC70
BnaUnng00790D	NAD(P)H-quinone oxidoreductase chain 4, chloroplastic	A0A078JBP9
BnaUnng00870D	BnaUnng00870D protein	A0A078JF44
BnaUnng00810D	Protein TIC 214	A0A078JEE6
BnaAnng31700D	BnaAnng31700D protein	A0A078JKY4
BnaA06g34100D	BnaA06g34100D protein	A0A078I5M0
BnaA06g34000D	BnaA06g34000D protein	A0A078I5L1
BnaA06g33870D	BnaA06g33870D protein	A0A078I7S1
BnaA06g34090D	BnaA06g34090D protein	A0A078I2W5
BnaA06g33990D	BnaA06g33990D protein	A0A078I2V4
BnaA06g33740D	BnaA06g33740D protein	A0A078I2S4
BnaA06g34060D	Pectate lyase	A0A078I565
BnaA06g33910D	BnaA06g33910D protein	A0A078I558
BnaA06g33690D	BnaA06g33690D protein	A0A078I2R8
BnaA06g33720D	BnaA06g33720D protein	A0A078I7Q8
BnaA06g33900D	BnaA06g33900D protein	A0A078I5K0
BnaA06g33680D	BnaA06g33680D protein	A0A078I6X4
BnaA06g34030D	BnaA02g26550D protein	A0A078F4C8
BnaA06g33670D	BnaA06g33670D protein	A0A078I7Q3
BnaA06g34010D	BnaA06g34010D protein	A0A078I562
BnaA06g33820D	BnaA06g33820D protein	A0A078I7R7
BnaA06g34040D	BnaA06g34040D protein	A0A078I2V9
BnaA06g33950D	BnaA06g33950D protein	A0A078J6I2
BnaA06g33810D	BnaA06g33810D protein	A0A078I550
