entrezgene_id	external_gene_name	Description_NCBI	ALIAS
106345166	BnaA01g25290D	"glutamyl-tRNA reductase-binding protein, chloroplastic"	LOC106345166
106345170	BnaA05g17590D	pectinesterase inhibitor 1	LOC106345170
106345180	BnaA05g18520D	uncharacterized LOC106345180	LOC106345180
106345185	BnaA01g25300D	protein MANNAN SYNTHESIS-RELATED 1	BNAA01G25300D
106345212	BnaC09g52190D	protein C2-DOMAIN ABA-RELATED 10	LOC106345212
106345220	BnaAnng34220D	probable serine/threonine-protein kinase At1g09600	LOC106345220
106345222	BnaA05g20720D	GDSL esterase/lipase At1g33811	LOC106345222
106345248	BnaA01g35740D	CST complex subunit TEN1-like	LOC106345248
106345263	BnaAnng19770D	peroxidase 49	LOC106345263
106345269	BnaA03g53500D	CRAL-TRIO domain-containing protein C23B6.04c	LOC106345269
106345273	BnaA09g40030D	putative two-component response regulator ARR20	LOC106345273
106345274	BnaA09g39990D	uncharacterized LOC106345274	LOC106345274
106345274	BnaC08g32350D	uncharacterized LOC106345274	LOC106345274
106345279	BnaCnng23290D	60S ribosomal protein L19-1	LOC106345279
106345301	BnaCnng23300D	programmed cell death protein 2	LOC106345301
106345323	BnaCnng46690D	xanthine dehydrogenase 1	LOC106345323
106345329	BnaAnng29070D	cell wall / vacuolar inhibitor of fructosidase 1	LOC106345329
106345353	BnaA05g34000D	hypersensitive-induced response protein 3	LOC106345353
106345353	BnaC05g48690D	hypersensitive-induced response protein 3	LOC106345353
106345361	BnaA04g26400D	E3 ubiquitin-protein ligase At1g63170	LOC106345361
106345362	BnaA04g26410D	BON1-associated protein 2	LOC106345362
106345363	BnaA04g26440D	LIM domain-containing protein PLIM2a	LOC106345363
106345364	BnaA04g26550D	F-box protein DOR	LOC106345364
106345366	BnaA04g26600D	uncharacterized BNAA04G26600D	BNAA04G26600D
106345389	BnaC03g65020D	uncharacterized BNAC03G65020D	BNAC03G65020D
106345408	BnaA05g25890D	L-ascorbate oxidase homolog	LOC106345408
106345410	BnaA05g26000D	high mobility group B protein 10-like	LOC106345410
106345410	BnaA05g25980D	high mobility group B protein 10-like	LOC106345410
106345414	BnaCnng68960D	uncharacterized BNACNNG68960D	BNACNNG68960D
106345424	BnaA05g26320D	uncharacterized LOC106345424	LOC106345424
106345427	BnaC05g40470D	transcription repressor MYB6	LOC106345427
106345427	BnaA05g26450D	transcription repressor MYB6	LOC106345427
106345428	BnaA05g26480D	"aspartic proteinase NANA, chloroplast"	LOC106345428
106345430	BnaA05g26500D	serine/threonine-protein kinase AGC1-5	LOC106345430
106345432	BnaA05g26540D	uncharacterized BNAA05G26540D	BNAA05G26540D
106345436	BnaA05g33890D	V-type proton ATPase subunit G1-like	LOC106345436
106345437	BnaC05g40860D	ras-related protein RABA4d-like	LOC106345437
106345437	BnaA05g26830D	ras-related protein RABA4d-like	LOC106345437
106345443	BnaC06g13960D	uncharacterized LOC106345443	LOC106345443
106345447	BnaA07g15730D	heavy metal-associated isoprenylated plant protein 30	BNAA07G15730D
106345447	BnaA07g15730D	heavy metal-associated isoprenylated plant protein 30	BNAC06G14030D
106345447	BnaC06g14030D	heavy metal-associated isoprenylated plant protein 30	BNAA07G15730D
106345447	BnaC06g14030D	heavy metal-associated isoprenylated plant protein 30	BNAC06G14030D
106345448	BnaC06g14080D	uncharacterized LOC106345448	LOC106345448
106345455	BnaC06g14460D	transcription factor MYB27	LOC106345455
106345456	BnaC06g14480D	thioredoxin-like 3-3	LOC106345456
106345461	BnaC06g14570D	DNA-binding protein S1FA1	LOC106345461
106345461	BnaAnng24190D	DNA-binding protein S1FA1	LOC106345461
106345488	BnaCnng48950D	ethylene-responsive transcription factor ERF021	LOC106345488
106345490	BnaC02g20640D	agamous-like MADS-box protein AGL12	LOC106345490
106345492	BnaC03g75990D	precursor of CEP14	BNAC03G75990D
106345494	BnaAnng17790D	LOB domain-containing protein 27	LOC106345494
106345511	BnaCnng75930D	protein trichome birefringence-like 1	LOC106345511
106345543	BnaAnng36180D	VQ motif-containing protein 22-like	LOC106345543
106345543	BnaA01g24850D	VQ motif-containing protein 22-like	LOC106345543
106345546	BnaCnng65040D	protein LITTLE ZIPPER 2	LOC106345546
106345573	BnaA09g53450D	U-box domain-containing protein 15	LOC106345573
106345587	BnaC05g43210D	"isocitrate dehydrogenase [NAD] catalytic subunit 6, mitochondrial"	LOC106345587
106345589	BnaC05g43150D	auxin-responsive protein SAUR50	LOC106345589
106345598	BnaC03g33880D	pathogenesis-related protein PR-4	LOC106345598
106345605	BnaA05g29680D	transcription factor MYB83	LOC106345605
106345620	BnaCnng73390D	basic leucine zipper 43-like	LOC106345620
106345622	BnaC04g26580D	jacalin-related lectin 10	LOC106345622
106345633	BnaA01g32660D	60S ribosomal protein L29-1	LOC106345633
106345633	BnaC05g45150D	60S ribosomal protein L29-1	LOC106345633
106345633	BnaA05g30690D	60S ribosomal protein L29-1	LOC106345633
106345649	BnaA05g32110D	F-box/kelch-repeat protein At4g38940	LOC106345649
106345652	BnaAnng10680D	uncharacterized BNAANNG10680D	BNAANNG10680D
106345659	BnaC08g14240D	exocyst complex component EXO84A	LOC106345659
106345668	BnaC08g13700D	transmembrane emp24 domain-containing protein p24delta3	LOC106345668
106345685	BnaCnng06650D	putative glycine-rich cell wall structural protein 1	LOC106345685
106345686	BnaCnng75630D	F-box protein PP2-B15	LOC106345686
106345687	BnaCnng06520D	putative UDP-glucuronate:xylan alpha-glucuronosyltransferase 5	LOC106345687
106345701	BnaA05g34120D	lamin-like protein	LOC106345701
106345704	BnaA05g34020D	peroxidase 27	LOC106345704
106345709	BnaA05g37460D	uncharacterized BNAA05G37460D	BNAA05G37460D
106345712	BnaA05g37470D	uncharacterized BNAA05G37470D	BNAA05G37470D
106345717	BnaA01g25400D	"photosystem II 5 kDa protein, chloroplastic"	LOC106345717
106345729	BnaA01g25380D	NAD(H) kinase 1	LOC106345729
106345731	BnaA01g25360D	zinc finger CCCH domain-containing protein 55	LOC106345731
106345735	BnaA06g01570D	nuclear pore complex protein NUP50A	LOC106345735
106345736	BnaA06g01590D	xanthoxin dehydrogenase	LOC106345736
106345739	BnaA06g01660D	protein disulfide isomerase-like 1-5	LOC106345739
106345740	BnaA06g01650D	ras-related protein RABG3d	LOC106345740
106345743	BnaA06g01680D	"photosystem I reaction center subunit VI, chloroplastic"	LOC106345743
106345746	BnaA06g01920D	"tRNase Z TRZ3, mitochondrial"	LOC106345746
106345748	BnaA06g01940D	homeobox-leucine zipper protein ATHB-15	LOC106345748
106345749	BnaAnng29320D	jacalin-related lectin 18	LOC106345749
106345751	BnaA06g00370D	uncharacterized BNAA06G00370D	BNAA06G00370D
106345754	BnaA06g00410D	serine/arginine-rich SC35-like splicing factor SCL33	LOC106345754
106345758	BnaA06g00500D	protein FLX-like 3	LOC106345758
106345768	BnaA01g25350D	"phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic"	LOC106345768
106345773	BnaA06g00320D	E3 ubiquitin-protein ligase SIRP1	LOC106345773
106345774	BnaA06g00310D	kinesin-like protein KIN-14T	LOC106345774
106345779	BnaA06g00210D	"photosystem I reaction center subunit V, chloroplastic"	LOC106345779
106345784	BnaA01g25330D	uncharacterized BNAA01G25330D	BNAA01G25330D
106345789	BnaC09g30760D	PAP-specific phosphatase HAL2-like	LOC106345789
106345793	BnaA06g00740D	26S proteasome regulatory subunit 7 homolog A	LOC106345793
106345793	BnaC06g06550D	26S proteasome regulatory subunit 7 homolog A	LOC106345793
106345798	BnaA06g00790D	polyadenylate-binding protein-interacting protein 8-like	LOC106345798
106345799	BnaA06g00780D	"peptide methionine sulfoxide reductase B1, chloroplastic"	LOC106345799
106345801	BnaA06g00750D	protein STRUBBELIG-RECEPTOR FAMILY 6-like	LOC106345801
106345818	BnaA06g01430D	GDSL esterase/lipase At1g54020-like	LOC106345818
106345821	BnaA06g01390D	epithiospecifier protein	LOC106345821
106345827	BnaA06g01350D	dormancy-associated protein homolog 4	BNAA06G01350D
106345830	BnaA06g01290D	E3 ubiquitin-protein ligase SPL2	LOC106345830
106345832	BnaA06g01270D	polyadenylate-binding protein-interacting protein 3	LOC106345832
106345844	BnaC02g25080D	"50S ribosomal protein L13, chloroplastic"	LOC106345844
106345845	BnaC02g25060D	B-box zinc finger protein 22	LOC106345845
106345888	BnaA03g13080D	40S ribosomal protein S20-1-like	LOC106345888
106345888	BnaA10g07870D	40S ribosomal protein S20-1-like	LOC106345888
106345909	BnaA03g12820D	BAG family molecular chaperone regulator 1	LOC106345909
106345912	BnaA06g01180D	lectin-like protein At1g53070	LOC106345912
106345916	BnaA06g01080D	probable E3 ubiquitin-protein ligase ZFP1	LOC106345916
106345918	BnaA06g01050D	"malate dehydrogenase 1, mitochondrial-like"	LOC106345918
106345922	BnaA06g01010D	uncharacterized BNAA06G01010D	BNAA06G01010D
106345925	BnaA06g00990D	protein GRAVITROPIC IN THE LIGHT 1	LOC106345925
106345927	BnaA06g00960D	ABC transporter G family member 24	LOC106345927
106345929	BnaA06g00950D	ubiquitin domain-containing protein 1-like	LOC106345929
106345931	BnaA06g00900D	"trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2"	LOC106345931
106345934	BnaA06g00910D	E3 ubiquitin-protein ligase CCNB1IP1 homolog	LOC106345934
106345935	BnaA06g00860D	60S ribosomal protein L18a-like protein	LOC106345935
106345937	BnaA06g00880D	"fatty-acid-binding protein 3, chloroplastic"	LOC106345937
106345940	BnaA06g00790D	polyadenylate-binding protein-interacting protein 8-like	LOC106345940
106345957	BnaA05g33140D	40S ribosomal protein S16-3-like	LOC106345957
106345964	BnaC05g02580D	60S ribosomal protein L23	LOC106345964
106345964	BnaC03g33700D	60S ribosomal protein L23	LOC106345964
106345964	BnaA03g28560D	60S ribosomal protein L23	LOC106345964
106345969	BnaA05g32930D	protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 2	LOC106345969
106345979	BnaC03g71690D	uncharacterized BNAC03G71690D	BNAC03G71690D
106345985	BnaC03g14150D	heterogeneous nuclear ribonucleoprotein 1	LOC106345985
106345986	BnaC03g14160D	uncharacterized BNAC03G14160D	BNAC03G14160D
106345987	BnaC03g14170D	mitochondrial import inner membrane translocase subunit TIM22-3	LOC106345987
106345991	BnaC03g14250D	fimbrin-3	LOC106345991
106345992	BnaA01g25600D	probable histone H2A.2	LOC106345992
106345994	BnaC03g14350D	"glucan endo-1,3-beta-glucosidase 12"	LOC106345994
106346004	BnaA03g11670D	protein translation factor SUI1 homolog	LOC106346004
106346014	BnaC03g14420D	transcription factor ILR3	LOC106346014
106346014	BnaC03g14420D	transcription factor ILR3	BnabHLH200
106346023	BnaC03g14590D	NAD(P)H dehydrogenase (quinone) FQR1-like	LOC106346023
106346030	BnaA06g02060D	probable LRR receptor-like serine/threonine-protein kinase At1g51860	LOC106346030
106346031	BnaA06g02070D	probable LRR receptor-like serine/threonine-protein kinase At1g51820	LOC106346031
106346037	BnaA06g02140D	NADP-specific glutamate dehydrogenase	LOC106346037
106346039	BnaA06g02000D	"probable mitochondrial-processing peptidase subunit alpha-1, mitochondrial"	LOC106346039
106346042	BnaA06g02080D	IAA-amino acid hydrolase ILR1-like 4	LOC106346042
106346043	BnaA01g36370D	transcription factor bHLH123	LOC106346043
106346047	BnaA06g02010D	auxin-responsive protein IAA18	LOC106346047
106346048	BnaAnng34100D	glycolipid transfer protein 1	LOC106346048
106346052	BnaA06g02220D	protein MANNAN SYNTHESIS-RELATED 2	BNAA06G02220D
106346053	BnaA06g02230D	LRR receptor-like serine/threonine-protein kinase IOS1	LOC106346053
106346055	BnaA06g02240D	"mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1"	LOC106346055
106346060	BnaA06g02320D	RNA-binding protein Y14-like	LOC106346060
106346063	BnaA06g02350D	"phospholipase A1-Igamma3, chloroplastic"	LOC106346063
106346065	BnaA06g02380D	"nifU-like protein 5, mitochondrial"	LOC106346065
106346066	BnaA06g02370D	"photosystem II 5 kDa protein, chloroplastic"	LOC106346066
106346112	BnaA01g32650D	"thioredoxin-like protein CITRX, chloroplastic"	LOC106346112
106346115	BnaA05g30690D	60S ribosomal protein L29-1	LOC106346115
106346115	BnaA01g32660D	60S ribosomal protein L29-1	LOC106346115
106346115	BnaC05g45150D	60S ribosomal protein L29-1	LOC106346115
106346137	BnaA06g02960D	probable carboxylesterase 3	LOC106346137
106346148	BnaA06g37650D	uncharacterized BNAA06G37650D	BNAA06G37650D
106346156	BnaC06g03040D	tubulin alpha-6 chain	LOC106346156
106346156	BnaA06g37700D	tubulin alpha-6 chain	LOC106346156
106346163	BnaC01g32640D	uncharacterized BNAC01G32640D	BNAC01G32640D
106346166	BnaC06g03490D	sugar transport protein 9	LOC106346166
106346166	BnaA06g02890D	sugar transport protein 9	LOC106346166
106346171	BnaA06g02880D	"thioredoxin X, chloroplastic"	LOC106346171
106346177	BnaA01g31660D	NAC domain containing protein 52	LOC106346177
106346178	BnaA01g31670D	NAC domain containing protein 52	LOC106346178
106346200	BnaA01g25680D	T-complex protein 1 subunit alpha	LOC106346200
106346296	BnaA01g25770D	E3 ubiquitin ligase BIG BROTHER-related	LOC106346296
106346304	BnaA01g25780D	uncharacterized BNAA01G25780D	BNAA01G25780D
106346382	BnaC04g39990D	histone H4	LOC106346382
106346382	BnaA06g18260D	histone H4	LOC106346382
106346382	BnaA06g04320D	histone H4	LOC106346382
106346382	BnaA07g14090D	histone H4	LOC106346382
106346382	BnaC03g11650D	histone H4	LOC106346382
106346382	BnaA03g09320D	histone H4	LOC106346382
106346382	BnaA04g21530D	histone H4	LOC106346382
106346382	BnaAnng15490D	histone H4	LOC106346382
106346382	BnaC03g55650D	histone H4	LOC106346382
106346382	BnaC04g15470D	histone H4	LOC106346382
106346382	BnaA02g06910D	histone H4	LOC106346382
106346382	BnaC03g20760D	histone H4	LOC106346382
106346382	BnaA03g22040D	histone H4	LOC106346382
106346382	BnaCnng67420D	histone H4	LOC106346382
106346382	BnaA05g06970D	histone H4	LOC106346382
106346382	BnaC02g44320D	histone H4	LOC106346382
106346382	BnaA03g17280D	histone H4	LOC106346382
106346382	BnaA09g33930D	histone H4	LOC106346382
106346382	BnaA04g16620D	histone H4	LOC106346382
106346382	BnaA06g04180D	histone H4	LOC106346382
106346382	BnaC05g05500D	histone H4	LOC106346382
106346382	BnaC03g26410D	histone H4	LOC106346382
106346382	BnaC06g37340D	histone H4	LOC106346382
106346382	BnaC08g43530D	histone H4	LOC106346382
106346382	BnaA09g49230D	histone H4	LOC106346382
106346382	BnaC08g02310D	histone H4	LOC106346382
106346392	BnaC09g35210D	40S ribosomal protein S15a	LOC106346392
106346392	BnaC05g05370D	40S ribosomal protein S15a	LOC106346392
106346392	BnaA10g12820D	40S ribosomal protein S15a	LOC106346392
106346392	BnaA02g06730D	40S ribosomal protein S15a	LOC106346392
106346392	BnaA06g04200D	40S ribosomal protein S15a	LOC106346392
106346392	BnaCnng37690D	40S ribosomal protein S15a	LOC106346392
106346392	BnaC03g11550D	40S ribosomal protein S15a	LOC106346392
106346392	BnaA08g29090D	40S ribosomal protein S15a	LOC106346392
106346393	BnaA01g25900D	eukaryotic initiation factor 4A-III homolog	LOC106346393
106346394	BnaA09g49230D	histone H4	LOC106346394
106346394	BnaC04g15470D	histone H4	LOC106346394
106346394	BnaA04g21530D	histone H4	LOC106346394
106346394	BnaA06g18260D	histone H4	LOC106346394
106346394	BnaA05g06970D	histone H4	LOC106346394
106346394	BnaC03g11650D	histone H4	LOC106346394
106346394	BnaA06g04180D	histone H4	LOC106346394
106346394	BnaA03g22040D	histone H4	LOC106346394
106346394	BnaC03g26410D	histone H4	LOC106346394
106346394	BnaC08g43530D	histone H4	LOC106346394
106346394	BnaAnng15490D	histone H4	LOC106346394
106346394	BnaCnng67420D	histone H4	LOC106346394
106346394	BnaA03g09320D	histone H4	LOC106346394
106346394	BnaC06g37340D	histone H4	LOC106346394
106346394	BnaC03g20760D	histone H4	LOC106346394
106346394	BnaA09g33930D	histone H4	LOC106346394
106346394	BnaA03g17280D	histone H4	LOC106346394
106346394	BnaC03g55650D	histone H4	LOC106346394
106346394	BnaA06g04320D	histone H4	LOC106346394
106346394	BnaC02g44320D	histone H4	LOC106346394
106346394	BnaA07g14090D	histone H4	LOC106346394
106346394	BnaA04g16620D	histone H4	LOC106346394
106346394	BnaC05g05500D	histone H4	LOC106346394
106346394	BnaC04g39990D	histone H4	LOC106346394
106346394	BnaC08g02310D	histone H4	LOC106346394
106346394	BnaA02g06910D	histone H4	LOC106346394
106346409	BnaA01g25890D	"large ribosomal RNA subunit accumulation protein YCED homolog 2, chloroplastic-like"	LOC106346409
106346413	BnaA06g03930D	CBL-interacting serine/threonine-protein kinase 17-like	LOC106346413
106346413	BnaA06g03930D	CBL-interacting serine/threonine-protein kinase 17-like	CIPK17.1
106346425	BnaA01g25920D	dynamin-like protein ARC5	LOC106346425
106346458	BnaA06g07790D	"glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic"	LOC106346458
106346458	BnaC05g09210D	"glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic"	LOC106346458
106346461	BnaA06g33700D	"pentatricopeptide repeat-containing protein At2g03380, mitochondrial"	LOC106346461
106346463	BnaA06g33720D	uncharacterized protein At5g01610	BNAA06G33720D
106346469	BnaA06g09210D	protein IQ-DOMAIN 28	LOC106346469
106346473	BnaA06g09160D	transcription factor MYB124	LOC106346473
106346475	BnaA06g09130D	binding partner of ACD11 1	LOC106346475
106346478	BnaA06g09120D	F-box/kelch-repeat protein SKIP11-like	LOC106346478
106346480	BnaA06g09090D	protein HGH1 homolog	LOC106346480
106346486	BnaA06g09040D	uncharacterized BNAA06G09040D	BNAA06G09040D
106346487	BnaA06g09030D	probable apyrase 5	LOC106346487
106346499	BnaA01g26050D	probable polyamine transporter At3g19553	LOC106346499
106346524	BnaC03g48210D	two-component response regulator ARR4	LOC106346524
106346526	BnaA09g48180D	serine/threonine-protein phosphatase PP2A-2 catalytic subunit	LOC106346526
106346526	BnaC03g48230D	serine/threonine-protein phosphatase PP2A-2 catalytic subunit	LOC106346526
106346527	BnaC03g48270D	uncharacterized BNAC03G48270D	BNAC03G48270D
106346573	BnaC01g15350D	reticulon-like protein B1	LOC106346573
106346574	BnaC01g15340D	50S ribosomal protein L25	LOC106346574
106346578	BnaC04g30020D	"phosphoglycolate phosphatase 1A, chloroplastic"	LOC106346578
106346586	BnaA06g09230D	ubiquitin-conjugating enzyme E2 1	LOC106346586
106346587	BnaA06g09270D	zinc-finger homeodomain protein 4	LOC106346587
106346595	BnaA06g09360D	AT-hook motif nuclear-localized protein 28	LOC106346595
106346615	BnaA06g09620D	CRAL-TRIO domain-containing protein YKL091C	LOC106346615
106346617	BnaA06g09630D	microtubule-associated protein 70-4	LOC106346617
106346618	BnaA06g09660D	protein PLANT CADMIUM RESISTANCE 2	LOC106346618
106346621	BnaA06g09710D	jacalin-related lectin 36	LOC106346621
106346622	BnaCnng21610D	putative pentatricopeptide repeat-containing protein At5g65820	LOC106346622
106346624	BnaCnng21600D	probable pectin methylesterase CGR3	LOC106346624
106346625	BnaCnng21620D	protein arginine N-methyltransferase 2	LOC106346625
106346627	BnaC03g48770D	phytosulfokines 5	LOC106346627
106346628	BnaC03g48750D	ACT domain-containing protein ACR1	LOC106346628
106346631	BnaC03g48720D	uncharacterized BNAC03G48720D	BNAC03G48720D
106346642	BnaA06g10360D	F-box/LRR-repeat protein 14	LOC106346642
106346644	BnaA06g10340D	pyrophosphate-energized vacuolar membrane proton pump 1	LOC106346644
106346645	BnaA06g10350D	COBW domain-containing protein 1	LOC106346645
106346648	BnaA06g10270D	cyclin-A2-3	cyclin
106346648	BnaA06g10270D	cyclin-A2-3	LOC106346648
106346649	BnaA06g10230D	ABC transporter G family member 40	LOC106346649
106346650	BnaA06g10220D	"pentatricopeptide repeat-containing protein At1g15510, chloroplastic"	LOC106346650
106346652	BnaA06g10210D	"ADP,ATP carrier protein 2, chloroplastic"	LOC106346652
106346653	BnaA06g10200D	uncharacterized BNAA06G10200D	BNAA06G10200D
106346654	BnaA06g10190D	"pentatricopeptide repeat-containing protein At1g15480, mitochondrial"	LOC106346654
106346655	BnaA06g10180D	serine-threonine kinase receptor-associated protein	LOC106346655
106346658	BnaA06g10110D	broad specificity amino-acid racemase RacX	LOC106346658
106346659	BnaA06g10130D	WD repeat-containing protein 43	LOC106346659
106346660	BnaA06g10140D	uncharacterized BNAA06G10140D	BNAA06G10140D
106346661	BnaA06g10120D	late embryogenesis abundant protein 1	LOC106346661
106346677	BnaA09g56740D	translation machinery-associated protein 7-like	LOC106346677
106346677	BnaC08g38970D	translation machinery-associated protein 7-like	LOC106346677
106346677	BnaA06g09940D	translation machinery-associated protein 7-like	LOC106346677
106346700	BnaA06g11610D	"alanine aminotransferase 1, mitochondrial"	LOC106346700
106346702	BnaA06g11590D	ubiquitin-conjugating enzyme E2 34	LOC106346702
106346706	BnaA06g11520D	CASP-like protein 2A1	LOC106346706
106346708	BnaA06g11510D	glutathione S-transferase U25-like	LOC106346708
106346709	BnaA06g11500D	glutathione S-transferase U24-like	LOC106346709
106346713	BnaAnng30390D	ribokinase	LOC106346713
106346716	BnaA06g38450D	VQ motif-containing protein 1	LOC106346716
106346718	BnaA06g38420D	splicing factor YJU2-like	LOC106346718
106346720	BnaA06g38410D	ubiquitin carboxyl-terminal hydrolase 15-like	LOC106346720
106346728	BnaA06g38400D	heme-binding protein 2	LOC106346728
106346729	BnaAnng25600D	cytochrome P450 72C1	LOC106346729
106346730	BnaAnng23090D	"solanesyl diphosphate synthase 2, chloroplastic"	LOC106346730
106346735	BnaA06g11470D	"trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1"	LOC106346735
106346740	BnaA06g11350D	ACT domain-containing protein ACR11	LOC106346740
106346741	BnaC08g38130D	ubiquitin-conjugating enzyme E2 36	LOC106346741
106346741	BnaA06g11360D	ubiquitin-conjugating enzyme E2 36	LOC106346741
106346743	BnaA05g13990D	eukaryotic initiation factor 4A-1	LOC106346743
106346745	BnaA06g11320D	uncharacterized BNAA06G11320D	BNAA06G11320D
106346748	BnaA06g11250D	50S ribosomal protein L20	LOC106346748
106346748	BnaC05g12790D	50S ribosomal protein L20	LOC106346748
106346751	BnaA05g14000D	60S ribosomal protein L18a-like protein	LOC106346751
106346752	BnaA06g11220D	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-B, mitochondrial"	LOC106346752
106346754	BnaA06g11200D	cold-responsive protein kinase 1	LOC106346754
106346755	BnaA06g11190D	probable methyltransferase-like protein 25	LOC106346755
106346760	BnaA06g38370D	post-GPI attachment to proteins factor 3	LOC106346760
106346761	BnaA06g38330D	molybdenum cofactor sulfurase	LOC106346761
106346763	BnaA06g38340D	LOB domain-containing protein 3	LOC106346763
106346764	BnaA01g26470D	ras-related protein RABG3f	LOC106346764
106346772	BnaA01g26500D	actin-2	LOC106346772
106346772	BnaC01g33900D	actin-2	LOC106346772
106346772	BnaA05g21350D	actin-2	LOC106346772
106346781	BnaA06g10910D	metal tolerance protein 10-like	LOC106346781
106346782	BnaA06g10900D	"glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic"	LOC106346782
106346786	BnaA06g10820D	probable protein phosphatase 2C 6	LOC106346786
