"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106345430" "GO:0006468" "BP" "serine/threonine-protein kinase AGC1-5" "protein phosphorylation" "BnaA05g26500D" "serine/threonine-protein kinase AGC1-5" "LOC106345430" -9.4491205669446 1.13335528953941e-34
"106345437" NA NA NA NA "BnaC05g40860D" "ras-related protein RABA4d-like" "LOC106345437" -4.04029795394623 3.09924703399415e-20
"106345443" NA NA NA NA "BnaC06g13960D" "uncharacterized LOC106345443" "LOC106345443" -5.53268337454188 2.62169224656815e-14
"106345461" "GO:0006355" "BP" "DNA-binding protein S1FA1" "regulation of DNA-templated transcription" "BnaC06g14570D" "DNA-binding protein S1FA1" "LOC106345461" -6.01708304657454 8.96633864707398e-24
"106345492" "GO:0006995" "BP" "precursor of CEP14" "cellular response to nitrogen starvation" "BnaC03g75990D" "precursor of CEP14" "BNAC03G75990D" -5.23450326997295 6.41877364128848e-05
"106345492" "GO:0006970" "BP" "precursor of CEP14" "response to osmotic stress" "BnaC03g75990D" "precursor of CEP14" "BNAC03G75990D" -5.23450326997295 6.41877364128848e-05
"106345511" NA NA NA NA "BnaCnng75930D" "protein trichome birefringence-like 1" "LOC106345511" -4.89404361251493 8.05576935722782e-08
"106345543" NA NA NA NA "BnaAnng36180D" "VQ motif-containing protein 22-like" "LOC106345543" -3.65664491075949 0.00239470711999715
"106345573" "GO:0007166" "BP" "U-box domain-containing protein 15" "cell surface receptor signaling pathway" "BnaA09g53450D" "U-box domain-containing protein 15" "LOC106345573" -10.3262987510762 1.08685432081193e-34
"106345622" NA NA NA NA "BnaC04g26580D" "jacalin-related lectin 10" "LOC106345622" -5.42335855040587 7.44644367569313e-06
"106345668" "GO:0006888" "BP" "transmembrane emp24 domain-containing protein p24delta3" "endoplasmic reticulum to Golgi vesicle-mediated transport" "BnaC08g13700D" "transmembrane emp24 domain-containing protein p24delta3" "LOC106345668" -14.2540472793691 1.97552993802749e-29
"106345668" "GO:0007030" "BP" "transmembrane emp24 domain-containing protein p24delta3" "Golgi organization" "BnaC08g13700D" "transmembrane emp24 domain-containing protein p24delta3" "LOC106345668" -14.2540472793691 1.97552993802749e-29
"106345668" "GO:0006886" "BP" "transmembrane emp24 domain-containing protein p24delta3" "intracellular protein transport" "BnaC08g13700D" "transmembrane emp24 domain-containing protein p24delta3" "LOC106345668" -14.2540472793691 1.97552993802749e-29
"106345686" NA NA NA NA "BnaCnng75630D" "F-box protein PP2-B15" "LOC106345686" -8.9569626185567 2.61304105699e-09
"106345701" NA NA NA NA "BnaA05g34120D" "lamin-like protein" "LOC106345701" -4.09836979152254 3.00652203758056e-10
"106345709" NA NA NA NA "BnaA05g37460D" "uncharacterized BNAA05G37460D" "BNAA05G37460D" -12.5241807424352 1.31042000312967e-91
"106345712" NA NA NA NA "BnaA05g37470D" "uncharacterized BNAA05G37470D" "BNAA05G37470D" -13.159342864428 7.08503511911891e-25
"106345740" NA NA NA NA "BnaA06g01650D" "ras-related protein RABG3d" "LOC106345740" -2.33398385616741 4.85778289791419e-05
"106345827" NA NA NA NA "BnaA06g01350D" "dormancy-associated protein homolog 4" "BNAA06G01350D" -10.1722756632285 2.54398967491966e-115
"106345830" "GO:0006996" "BP" "E3 ubiquitin-protein ligase SPL2" "organelle organization" "BnaA06g01290D" "E3 ubiquitin-protein ligase SPL2" "LOC106345830" -1.54839451755126 0.00135983356354782
"106345916" NA NA NA NA "BnaA06g01080D" "probable E3 ubiquitin-protein ligase ZFP1" "LOC106345916" -2.5907805692954 1.46102223616618e-14
"106345931" "GO:0010315" "BP" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "auxin export across the plasma membrane" "BnaA06g00900D" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "LOC106345931" -6.29882353423755 1.67456328840357e-36
"106345931" "GO:0051555" "BP" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "flavonol biosynthetic process" "BnaA06g00900D" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "LOC106345931" -6.29882353423755 1.67456328840357e-36
"106345931" "GO:0010253" "BP" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "UDP-rhamnose biosynthetic process" "BnaA06g00900D" "trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2" "LOC106345931" -6.29882353423755 1.67456328840357e-36
"106345979" NA NA NA NA "BnaC03g71690D" "uncharacterized BNAC03G71690D" "BNAC03G71690D" -4.15433018797792 1.87640036842009e-16
"106345985" NA NA NA NA "BnaC03g14150D" "heterogeneous nuclear ribonucleoprotein 1" "LOC106345985" -9.52178161209164 3.09295913505069e-29
"106345994" "GO:0005975" "BP" "glucan endo-1,3-beta-glucosidase 12" "carbohydrate metabolic process" "BnaC03g14350D" "glucan endo-1,3-beta-glucosidase 12" "LOC106345994" -2.0257490551001 1.06208034342539e-05
"106346163" NA NA NA NA "BnaC01g32640D" "uncharacterized BNAC01G32640D" "BNAC01G32640D" -10.3200668098807 2.89495466747518e-56
"106346166" NA NA NA NA "BnaC06g03490D" "sugar transport protein 9" "LOC106346166" -6.24744601210989 3.91349613011121e-09
"106346304" NA NA NA NA "BnaA01g25780D" "uncharacterized BNAA01G25780D" "BNAA01G25780D" -1.92309091570307 0.000176027818761715
"106346413" "GO:0006468" "BP" "CBL-interacting serine/threonine-protein kinase 17-like" "protein phosphorylation" "BnaA06g03930D" "CBL-interacting serine/threonine-protein kinase 17-like" "LOC106346413" -5.16968408685285 3.30399185814623e-06
"106346413" "GO:0007165" "BP" "CBL-interacting serine/threonine-protein kinase 17-like" "signal transduction" "BnaA06g03930D" "CBL-interacting serine/threonine-protein kinase 17-like" "LOC106346413" -5.16968408685285 3.30399185814623e-06
"106346463" NA NA NA NA "BnaA06g33720D" "uncharacterized protein At5g01610" "BNAA06G33720D" -8.7599339060207 1.37585373180981e-13
"106346478" NA NA NA NA "BnaA06g09120D" "F-box/kelch-repeat protein SKIP11-like" "LOC106346478" -4.02125487990797 5.57050580046377e-12
"106346499" NA NA NA NA "BnaA01g26050D" "probable polyamine transporter At3g19553" "LOC106346499" -2.74064937198238 1.78572896900882e-08
"106346524" "GO:0009736" "BP" "two-component response regulator ARR4" "cytokinin-activated signaling pathway" "BnaC03g48210D" "two-component response regulator ARR4" "LOC106346524" -2.85099159130635 0.00375643276439409
"106346524" "GO:0000160" "BP" "two-component response regulator ARR4" "phosphorelay signal transduction system" "BnaC03g48210D" "two-component response regulator ARR4" "LOC106346524" -2.85099159130635 0.00375643276439409
"106346644" NA NA NA NA "BnaA06g10340D" "pyrophosphate-energized vacuolar membrane proton pump 1" "LOC106346644" -1.27955644768797 0.00225415395602552
"106346652" NA NA NA NA "BnaA06g10210D" "ADP,ATP carrier protein 2, chloroplastic" "LOC106346652" -5.23018189580239 2.52621806069367e-28
"106346653" NA NA NA NA "BnaA06g10200D" "uncharacterized BNAA06G10200D" "BNAA06G10200D" -1.72253652364718 0.00470161094437052
"106346658" "GO:0006807" "BP" "broad specificity amino-acid racemase RacX" "nitrogen compound metabolic process" "BnaA06g10110D" "broad specificity amino-acid racemase RacX" "LOC106346658" -3.97885494772651 1.63571751232231e-07
"106346660" NA NA NA NA "BnaA06g10140D" "uncharacterized BNAA06G10140D" "BNAA06G10140D" -3.24849937522802 2.3575992813081e-08
"106346661" NA NA NA NA "BnaA06g10120D" "late embryogenesis abundant protein 1" "LOC106346661" -9.6232371012483 7.60306553043697e-79
"106346729" NA NA NA NA "BnaAnng25600D" "cytochrome P450 72C1" "LOC106346729" -7.35271196865505 1.00928263235569e-24
"106346790" NA NA NA NA "BnaA06g10790D" "uncharacterized BNAA06G10790D" "BNAA06G10790D" -3.40747831460054 4.68402745051313e-18
"106346791" NA NA NA NA "BnaA06g10770D" "tubby-like protein 8" "LOC106346791" -2.03389498921313 0.0286393356753124
"106346890" "GO:0035556" "BP" "mitogen-activated protein kinase 8" "intracellular signal transduction" "BnaA06g12330D" "mitogen-activated protein kinase 8" "LOC106346890" -2.65495614831669 7.75577785295872e-10
"106346890" "GO:0006468" "BP" "mitogen-activated protein kinase 8" "protein phosphorylation" "BnaA06g12330D" "mitogen-activated protein kinase 8" "LOC106346890" -2.65495614831669 7.75577785295872e-10
"106346947" NA NA NA NA "BnaA06g13810D" "phosphatidylinositol/phosphatidylcholine transfer protein SFH4" "LOC106346947" -3.35478473820011 1.37154667950877e-10
"106346970" "GO:0071712" "BP" "E3 ubiquitin-protein ligase RNF185" "ER-associated misfolded protein catabolic process" "BnaA06g13390D" "E3 ubiquitin-protein ligase RNF185" "LOC106346970" -2.27321361199904 0.00103782356359566
"106346970" "GO:0006511" "BP" "E3 ubiquitin-protein ligase RNF185" "ubiquitin-dependent protein catabolic process" "BnaA06g13390D" "E3 ubiquitin-protein ligase RNF185" "LOC106346970" -2.27321361199904 0.00103782356359566
"106346981" "GO:0000103" "BP" "ATP sulfurylase 2" "sulfate assimilation" "BnaA06g14140D" "ATP sulfurylase 2" "LOC106346981" -3.94755399343981 8.19095312948658e-12
"106347015" NA NA NA NA "BnaCnng50610D" "CBS domain-containing protein CBSCBSPB5" "LOC106347015" -4.09191551811394 4.0065701294285e-24
"106347027" "GO:0006468" "BP" "serine/threonine-protein kinase STY13" "protein phosphorylation" "BnaCnng28670D" "serine/threonine-protein kinase STY13" "LOC106347027" -4.49882473116203 8.37503660793831e-25
"106347036" NA NA NA NA "BnaC09g08970D" "purple acid phosphatase 10" "LOC106347036" -2.9768810419988 2.07502390208686e-11
"106347063" "GO:0000103" "BP" "ATP sulfurylase 2" "sulfate assimilation" "BnaA06g14140D" "ATP sulfurylase 2" "LOC106347063" -3.94755399343981 8.19095312948658e-12
"106347070" "GO:0006621" "BP" "ER lumen protein-retaining receptor erd-2.2-like" "protein retention in ER lumen" "BnaC05g15540D" "ER lumen protein-retaining receptor erd-2.2-like" "LOC106347070" -1.88461727463186 2.58305322883844e-05
"106347070" "GO:0015031" "BP" "ER lumen protein-retaining receptor erd-2.2-like" "protein transport" "BnaC05g15540D" "ER lumen protein-retaining receptor erd-2.2-like" "LOC106347070" -1.88461727463186 2.58305322883844e-05
"106347073" NA NA NA NA "BnaA06g14230D" "uncharacterized BNAA06G14230D" "BNAA06G14230D" -1.25792534188881 0.0113547877535428
"106347082" NA NA NA NA "BnaCnng49470D" "uncharacterized BNACNNG49470D" "BNACNNG49470D" -3.39181826865561 4.46154782067931e-20
"106347086" "GO:0018401" "BP" "probable prolyl 4-hydroxylase 3" "peptidyl-proline hydroxylation to 4-hydroxy-L-proline" "BnaCnng20650D" "probable prolyl 4-hydroxylase 3" "LOC106347086" -2.57259783881185 2.3192011508538e-06
"106347126" NA NA NA NA "BnaA09g28960D" "putative pentatricopeptide repeat-containing protein At1g26500" "LOC106347126" -5.54157211951682 2.38841553130384e-30
"106347140" NA NA NA NA "BnaA09g28750D" "probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL1" "LOC106347140" -2.52065155975966 2.05589377257185e-05
"106347169" NA NA NA NA "BnaA09g54510D" "uncharacterized BNAA09G54510D" "BNAA09G54510D" -5.96121073427388 1.13825018422029e-09
"106347189" "GO:0030968" "BP" "protein OS-9 homolog" "endoplasmic reticulum unfolded protein response" "BnaA05g10000D" "protein OS-9 homolog" "LOC106347189" -1.14834564431721 0.011595329290814
"106347189" "GO:0030970" "BP" "protein OS-9 homolog" "retrograde protein transport, ER to cytosol" "BnaA05g10000D" "protein OS-9 homolog" "LOC106347189" -1.14834564431721 0.011595329290814
"106347189" "GO:0030433" "BP" "protein OS-9 homolog" "ubiquitin-dependent ERAD pathway" "BnaA05g10000D" "protein OS-9 homolog" "LOC106347189" -1.14834564431721 0.011595329290814
"106347232" "GO:0045010" "BP" "formin-like protein 8" "actin nucleation" "BnaC06g31250D" "formin-like protein 8" "LOC106347232" -2.39314188428066 0.000171441916465039
"106347389" "GO:0055088" "BP" "TLC domain-containing protein 2" "lipid homeostasis" "BnaA06g15540D" "TLC domain-containing protein 2" "LOC106347389" -1.73754446771528 0.0051701141925011
"106347389" "GO:0071709" "BP" "TLC domain-containing protein 2" "membrane assembly" "BnaA06g15540D" "TLC domain-containing protein 2" "LOC106347389" -1.73754446771528 0.0051701141925011
"106347389" "GO:0055091" "BP" "TLC domain-containing protein 2" "phospholipid homeostasis" "BnaA06g15540D" "TLC domain-containing protein 2" "LOC106347389" -1.73754446771528 0.0051701141925011
"106347389" "GO:0007009" "BP" "TLC domain-containing protein 2" "plasma membrane organization" "BnaA06g15540D" "TLC domain-containing protein 2" "LOC106347389" -1.73754446771528 0.0051701141925011
"106347389" "GO:0097035" "BP" "TLC domain-containing protein 2" "regulation of membrane lipid distribution" "BnaA06g15540D" "TLC domain-containing protein 2" "LOC106347389" -1.73754446771528 0.0051701141925011
"106347414" NA NA NA NA "BnaA06g15820D" "translation initiation factor IF-2" "LOC106347414" -10.2033306346191 5.81850879082308e-164
"106347415" "GO:0019483" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "beta-alanine biosynthetic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415" -2.62992351545687 9.55873084743867e-06
"106347415" "GO:0006210" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "thymine catabolic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415" -2.62992351545687 9.55873084743867e-06
"106347415" "GO:0006212" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "uracil catabolic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415" -2.62992351545687 9.55873084743867e-06
"106347462" "GO:0018230" "BP" "probable protein S-acyltransferase 5" "peptidyl-L-cysteine S-palmitoylation" "BnaAnng19880D" "probable protein S-acyltransferase 5" "LOC106347462" -2.32477825749451 0.000300846962599663
"106347462" "GO:0006612" "BP" "probable protein S-acyltransferase 5" "protein targeting to membrane" "BnaAnng19880D" "probable protein S-acyltransferase 5" "LOC106347462" -2.32477825749451 0.000300846962599663
"106347602" "GO:0006869" "BP" "ABC transporter A family member 7" "lipid transport" "BnaC03g57210D" "ABC transporter A family member 7" "LOC106347602" -1.58224481577056 0.00167316579807725
"106347608" NA NA NA NA "BnaC03g57120D" "pectinesterase 1" "LOC106347608" -2.54898197496537 4.66365673086636e-06
"106347637" "GO:0071704" "BP" "sorbitol dehydrogenase" "organic substance metabolic process" "BnaCnng32750D" "sorbitol dehydrogenase" "LOC106347637" -2.47793877976743 6.38180969121904e-08
"106347644" NA NA NA NA "BnaCnng69290D" "uncharacterized BNACNNG69290D" "BNACNNG69290D" -2.03458967633402 0.00220005505728563
"106347709" NA NA NA NA "BnaA06g20460D" "actin-12" "LOC106347709" -9.46502599235299 1.05028328418323e-118
"106347727" "GO:0009734" "BP" "protein AUXIN SIGNALING F-BOX 2" "auxin-activated signaling pathway" "BnaC02g36370D" "protein AUXIN SIGNALING F-BOX 2" "LOC106347727" -1.71175085495336 0.0192493860800735
"106347727" "GO:0031146" "BP" "protein AUXIN SIGNALING F-BOX 2" "SCF-dependent proteasomal ubiquitin-dependent protein catabolic process" "BnaC02g36370D" "protein AUXIN SIGNALING F-BOX 2" "LOC106347727" -1.71175085495336 0.0192493860800735
"106347804" NA NA NA NA "BnaA08g04910D" "cytochrome b561 and DOMON domain-containing protein At4g12980" "LOC106347804" -1.99132768076602 9.50577850269835e-06
"106348051" NA NA NA NA "BnaAnng15080D" "leucine-rich repeat extensin-like protein 3" "LOC106348051" -1.06410520681078 0.0213002385387158
"106348064" NA NA NA NA "BnaA06g23430D" "classical arabinogalactan protein 1-like" "LOC106348064" -1.98299651708492 3.13788502010489e-06
"106348067" NA NA NA NA "BnaA06g23380D" "protein EXORDIUM-like 2" "LOC106348067" -2.33014734581462 3.17741769566093e-05
"106348105" "GO:0006094" "BP" "phosphoenolpyruvate carboxykinase (ATP) 2" "gluconeogenesis" "BnaCnng13230D" "phosphoenolpyruvate carboxykinase (ATP) 2" "LOC106348105" -8.37865530201648 1.10309998937346e-77
"106348106" NA NA NA NA "BnaCnng13220D" "probable E3 ubiquitin-protein ligase WAVH2" "BNACNNG13220D" -2.54564333870512 2.21794531753425e-05
"106348141" NA NA NA NA "BnaA03g53370D" "suppressor protein SRP40" "LOC106348141" -2.05575396890112 0.00202711616309634
"106348149" "GO:0006468" "BP" "probable serine/threonine-protein kinase CST" "protein phosphorylation" "BnaA03g53450D" "probable serine/threonine-protein kinase CST" "LOC106348149" -5.35571726340443 5.72450269800185e-22
"106348151" NA NA NA NA "BnaA06g25060D" "zinc finger protein AZF1" "LOC106348151" -2.15808684871563 0.00110742386626199
"106348163" "GO:0006334" "BP" "telomere repeat-binding factor 2" "nucleosome assembly" "BnaA06g24950D" "telomere repeat-binding factor 2" "LOC106348163" -1.1438669587449 0.0435724334933229
"106348189" "GO:0006094" "BP" "phosphoenolpyruvate carboxykinase (ATP) 2" "gluconeogenesis" "BnaA06g24600D" "phosphoenolpyruvate carboxykinase (ATP) 2" "LOC106348189" -10.2438505128562 3.12610779041923e-91
"106348220" "GO:0018401" "BP" "prolyl 4-hydroxylase 5" "peptidyl-proline hydroxylation to 4-hydroxy-L-proline" "BnaA06g25630D" "prolyl 4-hydroxylase 5" "LOC106348220" -2.93182382600569 1.15784269202079e-05
"106348221" NA NA NA NA "BnaA06g25590D" "NEP1-interacting protein 2" "LOC106348221" -3.08847098308124 1.12237727257272e-08
"106348367" NA NA NA NA "BnaA04g17960D" "uncharacterized BNAA04G17960D" "BNAA04G17960D" -3.27782355365954 0.00404501516633336
"106348389" NA NA NA NA "BnaA04g17680D" "E3 ubiquitin protein ligase DRIP2" "LOC106348389" -1.55917969866735 0.00419191900928931
"106348398" NA NA NA NA "BnaA04g17570D" "trans-cinnamate 4-monooxygenase-like" "LOC106348398" -3.34601615128264 4.31628301067116e-10
"106348410" NA NA NA NA "BnaA04g17420D" "probable WRKY transcription factor 25" "LOC106348410" -4.39070667761197 6.47048618289448e-08
"106348452" NA NA NA NA "BnaC06g06880D" "uncharacterized BNAC06G06880D" "BNAC06G06880D" -2.90513935756439 0.000222786825944713
"106348789" "GO:0042546" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "cell wall biogenesis" "BnaAnng35740D" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "LOC106348789" -1.98779872425061 0.000528444441319442
"106348789" "GO:0071555" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "cell wall organization" "BnaAnng35740D" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "LOC106348789" -1.98779872425061 0.000528444441319442
"106348789" "GO:0010411" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "xyloglucan metabolic process" "BnaAnng35740D" "probable xyloglucan endotransglucosylase/hydrolase protein 27" "LOC106348789" -1.98779872425061 0.000528444441319442
"106348962" NA NA NA NA "BnaC07g49230D" "ras-related protein RABA4c" "LOC106348962" -2.8154452143171 3.45344956902841e-06
"106349011" "GO:0005975" "BP" "acid beta-fructofuranosidase 3, vacuolar" "carbohydrate metabolic process" "BnaA09g12880D" "acid beta-fructofuranosidase 3, vacuolar" "LOC106349011" -11.0667843185951 3.7546234188947e-40
"106349151" NA NA NA NA "BnaA01g29240D" "cytochrome P450 72A15" "LOC106349151" -8.25868004889931 1.26465638901344e-11
"106349257" "GO:0009060" "BP" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "aerobic respiration" "BnaA06g32140D" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "LOC106349257" -1.47797199788695 0.000313751899964013
"106349257" "GO:0022904" "BP" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "respiratory electron transport chain" "BnaA06g32140D" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "LOC106349257" -1.47797199788695 0.000313751899964013
"106349257" "GO:0006099" "BP" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "tricarboxylic acid cycle" "BnaA06g32140D" "succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial" "LOC106349257" -1.47797199788695 0.000313751899964013
"106349323" NA NA NA NA "BnaA06g32730D" "probable magnesium transporter NIPA8" "LOC106349323" -2.17259346374153 6.73808730713045e-09
"106349332" "GO:0006833" "BP" "aquaporin TIP1-2" "water transport" "BnaA06g32840D" "aquaporin TIP1-2" "LOC106349332" -1.56062593167705 0.0141954997891106
"106349413" NA NA NA NA "BnaA06g33290D" "uncharacterized BNAA06G33290D" "BNAA06G33290D" -1.68668244012694 0.0117037539646021
"106349430" NA NA NA NA "BnaA06g33140D" "ultraviolet-B receptor UVR8" "LOC106349430" -2.01153425544798 3.25783781523693e-05
"106349441" "GO:0016567" "BP" "E3 ubiquitin-protein ligase RHA2B" "protein ubiquitination" "BnaC07g48760D" "E3 ubiquitin-protein ligase RHA2B" "LOC106349441" -2.64473869450843 2.98836777629999e-06
"106349478" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "protein folding" "BnaA06g37360D" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "LOC106349478" -5.24007571102816 1.99294572256461e-27
"106349478" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "protein peptidyl-prolyl isomerization" "BnaA06g37360D" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "LOC106349478" -5.24007571102816 1.99294572256461e-27
"106349528" "GO:0005975" "BP" "glucan endo-1,3-beta-glucosidase 7" "carbohydrate metabolic process" "BnaA06g37080D" "glucan endo-1,3-beta-glucosidase 7" "LOC106349528" -3.69294663578812 1.03142176838659e-05
"106349534" NA NA NA NA "BnaA06g37040D" "thioredoxin-like protein Clot" "LOC106349534" -2.60043849418815 9.90993807860835e-07
"106349535" "GO:0009904" "BP" "protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 3" "chloroplast accumulation movement" "BnaA06g37020D" "protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 3" "LOC106349535" -4.22908142379297 1.04673852201952e-16
"106349535" "GO:0009903" "BP" "protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 3" "chloroplast avoidance movement" "BnaA06g37020D" "protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 3" "LOC106349535" -4.22908142379297 1.04673852201952e-16
"106349554" NA NA NA NA "BnaA06g36770D" "COP1-interacting protein 7" "BNAA06G36770D" -1.54337808548122 0.0050977399731942
"106349566" NA NA NA NA "BnaA06g01580D" "uncharacterized BNAA06G01580D" "BNAA06G01580D" -10.819923954156 7.59189891819376e-31
"106349762" NA NA NA NA "BnaA06g33710D" "xylan glycosyltransferase MUCI21" "LOC106349762" -7.52709849824929 1.79094606998677e-15
"106350370" "GO:0009736" "BP" "two-component response regulator ARR4" "cytokinin-activated signaling pathway" "BnaCnng49440D" "two-component response regulator ARR4" "LOC106350370" -4.93628082159309 2.31034502309235e-18
"106350370" "GO:0000160" "BP" "two-component response regulator ARR4" "phosphorelay signal transduction system" "BnaCnng49440D" "two-component response regulator ARR4" "LOC106350370" -4.93628082159309 2.31034502309235e-18
"106350402" "GO:0009736" "BP" "two-component response regulator ARR4" "cytokinin-activated signaling pathway" "BnaC05g07990D" "two-component response regulator ARR4" "LOC106350402" -2.48146488468437 0.0267158817015299
"106350402" "GO:0000160" "BP" "two-component response regulator ARR4" "phosphorelay signal transduction system" "BnaC05g07990D" "two-component response regulator ARR4" "LOC106350402" -2.48146488468437 0.0267158817015299
"106350482" "GO:0006749" "BP" "glutathione S-transferase U17" "glutathione metabolic process" "BnaC05g07900D" "glutathione S-transferase U17" "LOC106350482" -2.33206132617927 2.46466936239744e-07
"106350482" "GO:0009407" "BP" "glutathione S-transferase U17" "toxin catabolic process" "BnaC05g07900D" "glutathione S-transferase U17" "LOC106350482" -2.33206132617927 2.46466936239744e-07
"106350877" NA NA NA NA "BnaA06g39750D" "uncharacterized BNAA06G39750D" "BNAA06G39750D" -6.96420993103043 0.000415706094609174
"106350970" NA NA NA NA "BnaA06g01630D" "uncharacterized oxidoreductase At4g09670" "BNAA06G01630D" -9.35903048627925 7.81952847771654e-11
"106350973" NA NA NA NA "BnaA06g00380D" "arabinogalactan protein 21" "LOC106350973" -3.62721374976978 4.50933724190067e-11
