"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106346578" NA NA NA NA "BnaC04g30020D" "phosphoglycolate phosphatase 1A, chloroplastic" "LOC106346578" 3.68674640181035 0.0215089159797618
"106346625" NA NA NA NA "BnaCnng21620D" "protein arginine N-methyltransferase 2" "LOC106346625" 2.54097847275997 1.03616847969752e-10
"106346642" "GO:0031146" "BP" "F-box/LRR-repeat protein 14" "SCF-dependent proteasomal ubiquitin-dependent protein catabolic process" "BnaA06g10360D" "F-box/LRR-repeat protein 14" "LOC106346642" 1.67396105024565 0.0005840231136515
"106346645" NA NA NA NA "BnaA06g10350D" "COBW domain-containing protein 1" "LOC106346645" 3.3507882521121 0.0454352163479876
"106346654" NA NA NA NA "BnaA06g10190D" "pentatricopeptide repeat-containing protein At1g15480, mitochondrial" "LOC106346654" 2.11726727917844 2.1019277331203e-05
"106346659" NA NA NA NA "BnaA06g10130D" "WD repeat-containing protein 43" "LOC106346659" 2.11024745416303 2.01448768153114e-05
"106346730" "GO:0008299" "BP" "solanesyl diphosphate synthase 2, chloroplastic" "isoprenoid biosynthetic process" "BnaAnng23090D" "solanesyl diphosphate synthase 2, chloroplastic" "LOC106346730" 2.418878211916 0.0331665840250884
"106346730" "GO:0010236" "BP" "solanesyl diphosphate synthase 2, chloroplastic" "plastoquinone biosynthetic process" "BnaAnng23090D" "solanesyl diphosphate synthase 2, chloroplastic" "LOC106346730" 2.418878211916 0.0331665840250884
"106346748" "GO:0000027" "BP" "50S ribosomal protein L20" "ribosomal large subunit assembly" "BnaA06g11250D" "50S ribosomal protein L20" "LOC106346748" 1.60421793178554 0.00305747118770572
"106346748" "GO:0006412" "BP" "50S ribosomal protein L20" "translation" "BnaA06g11250D" "50S ribosomal protein L20" "LOC106346748" 1.60421793178554 0.00305747118770572
"106346772" NA NA NA NA "BnaA01g26500D" "actin-2" "LOC106346772" 1.05371275498733 0.0316145847534511
"106346782" "GO:0006006" "BP" "glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic" "glucose metabolic process" "BnaA06g10900D" "glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic" "LOC106346782" 2.40081946627359 4.05616095199753e-08
"106346782" "GO:0006096" "BP" "glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic" "glycolytic process" "BnaA06g10900D" "glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic" "LOC106346782" 2.40081946627359 4.05616095199753e-08
"106346788" "GO:0006289" "BP" "probable ubiquitin receptor RAD23a" "nucleotide-excision repair" "BnaA06g10810D" "probable ubiquitin receptor RAD23a" "LOC106346788" 1.49414181254828 0.003462728751225
"106346788" "GO:0043161" "BP" "probable ubiquitin receptor RAD23a" "proteasome-mediated ubiquitin-dependent protein catabolic process" "BnaA06g10810D" "probable ubiquitin receptor RAD23a" "LOC106346788" 1.49414181254828 0.003462728751225
"106346799" "GO:0006412" "BP" "40S ribosomal protein S12-1" "translation" "BnaA06g10600D" "40S ribosomal protein S12-1" "LOC106346799" 2.36800086836952 1.49612977125159e-07
"106346803" NA NA NA NA "BnaA06g10550D" "uncharacterized protein At2g39795, mitochondrial" "BNAA06G10550D" 2.73629738751617 1.90833517727438e-06
"106346833" NA NA NA NA "BnaA06g12190D" "uncharacterized BNAA06G12190D" "BNAA06G12190D" 2.67795730546906 6.10909563122952e-05
"106346839" NA NA NA NA "BnaA06g12100D" "basic transcription factor 3" "LOC106346839" 1.43681484331938 0.000382135211462677
"106346895" "GO:0006952" "BP" "thaumatin-like protein" "defense response" "BnaA06g12390D" "thaumatin-like protein" "LOC106346895" 2.74801058318635 1.4193435985673e-06
"106346897" NA NA NA NA "BnaC05g34370D" "putative 60S ribosomal protein L30-1" "LOC106346897" 2.15917410773665 2.23164623683002e-06
"106346938" NA NA NA NA "BnaA06g13900D" "thioredoxin H-type 2-like" "Trx-H-2" 1.64302367430538 5.35619096208506e-05
"106346939" NA NA NA NA "BnaA06g13890D" "pentatricopeptide repeat-containing protein At1g19720" "LOC106346939" 2.89373299090293 0.000251043014054289
"106346945" "GO:0015996" "BP" "chlorophyllase-1" "chlorophyll catabolic process" "BnaA06g13830D" "chlorophyllase-1" "LOC106346945" 7.55187942091016 3.81727463348591e-07
"106346948" NA NA NA NA "BnaA06g13780D" "uncharacterized sugar kinase slr0537" "BNAA06G13780D" 1.95073392997416 1.14463199933005e-05
"106346951" NA NA NA NA "BnaA06g13730D" "protein NUCLEAR FUSION DEFECTIVE 5, mitochondrial" "LOC106346951" 2.202451084623 3.228002040719e-05
"106346957" "GO:0032259" "BP" "probable methyltransferase PMT28" "methylation" "BnaA06g38510D" "probable methyltransferase PMT28" "LOC106346957" 1.5650400063449 0.0295184973584307
"106346966" "GO:0043414" "BP" "methyltransferase-like protein 2" "macromolecule methylation" "BnaA06g13610D" "methyltransferase-like protein 2" "LOC106346966" 3.04837772862499 3.53688316511303e-10
"106346966" "GO:0090304" "BP" "methyltransferase-like protein 2" "nucleic acid metabolic process" "BnaA06g13610D" "methyltransferase-like protein 2" "LOC106346966" 3.04837772862499 3.53688316511303e-10
"106346976" "GO:0000463" "BP" "DEAD-box ATP-dependent RNA helicase 51" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA01g26650D" "DEAD-box ATP-dependent RNA helicase 51" "LOC106346976" 3.49541137197414 3.32023032931398e-11
"106346987" "GO:0009734" "BP" "auxin response factor 5" "auxin-activated signaling pathway" "BnaA06g14040D" "auxin response factor 5" "LOC106346987" 7.49392134362407 4.90931437611465e-07
"106346987" "GO:0006355" "BP" "auxin response factor 5" "regulation of DNA-templated transcription" "BnaA06g14040D" "auxin response factor 5" "LOC106346987" 7.49392134362407 4.90931437611465e-07
"106347045" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein folding" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase" 2.9153847128334 3.55321512636042e-11
"106347045" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase-like" "protein peptidyl-prolyl isomerization" "BnaC09g09060D" "peptidyl-prolyl cis-trans isomerase-like" "Rotamase" 2.9153847128334 3.55321512636042e-11
"106347076" "GO:0009867" "BP" "SKP1-like protein 3" "jasmonic acid mediated signaling pathway" "BnaC05g15660D" "SKP1-like protein 3" "LOC106347076" 2.44673760971113 2.83001537671002e-06
"106347076" "GO:0016567" "BP" "SKP1-like protein 3" "protein ubiquitination" "BnaC05g15660D" "SKP1-like protein 3" "LOC106347076" 2.44673760971113 2.83001537671002e-06
"106347076" "GO:0031146" "BP" "SKP1-like protein 3" "SCF-dependent proteasomal ubiquitin-dependent protein catabolic process" "BnaC05g15660D" "SKP1-like protein 3" "LOC106347076" 2.44673760971113 2.83001537671002e-06
"106347122" NA NA NA NA "BnaA09g29050D" "uncharacterized BNAA09G29050D" "BNAA09G29050D" 1.89660090688464 2.01591515952156e-05
"106347124" "GO:0006024" "BP" "UDP-glucose 6-dehydrogenase 1" "glycosaminoglycan biosynthetic process" "BnaA09g29000D" "UDP-glucose 6-dehydrogenase 1" "LOC106347124" 1.10086102439596 0.0246448362236392
"106347124" "GO:0006065" "BP" "UDP-glucose 6-dehydrogenase 1" "UDP-glucuronate biosynthetic process" "BnaA09g29000D" "UDP-glucose 6-dehydrogenase 1" "LOC106347124" 1.10086102439596 0.0246448362236392
"106347127" NA NA NA NA "BnaA09g28970D" "COBW domain-containing protein 1" "LOC106347127" 1.49783269409101 0.0032245345156383
"106347128" NA NA NA NA "BnaA09g28930D" "pentatricopeptide repeat-containing protein At1g26460, mitochondrial" "LOC106347128" 2.66831478907326 1.38446273347524e-07
"106347134" "GO:0045943" "BP" "pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10" "positive regulation of transcription by RNA polymerase I" "BnaA09g28880D" "pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10" "LOC106347134" 1.87361850856226 0.000756700279189112
"106347175" NA NA NA NA "BnaA05g10200D" "probable peroxygenase 3" "LOC106347175" 3.87835703209877 0.0112444968710723
"106347180" "GO:0016554" "BP" "multiple organellar RNA editing factor 2, chloroplastic" "cytidine to uridine editing" "BnaA05g10140D" "multiple organellar RNA editing factor 2, chloroplastic" "LOC106347180" 3.48897065488148 0.0203120576412576
"106347180" "GO:0080156" "BP" "multiple organellar RNA editing factor 2, chloroplastic" "mitochondrial mRNA modification" "BnaA05g10140D" "multiple organellar RNA editing factor 2, chloroplastic" "LOC106347180" 3.48897065488148 0.0203120576412576
"106347180" "GO:0006397" "BP" "multiple organellar RNA editing factor 2, chloroplastic" "mRNA processing" "BnaA05g10140D" "multiple organellar RNA editing factor 2, chloroplastic" "LOC106347180" 3.48897065488148 0.0203120576412576
"106347182" NA NA NA NA "BnaA05g10070D" "eukaryotic translation initiation factor 3 subunit C" "LOC106347182" 4.21960471391965 0.0475866205082323
"106347199" NA NA NA NA "BnaA05g09830D" "dormancy-associated protein homolog 1" "LOC106347199" 7.33845918871728 8.0185861974789e-06
"106347200" NA NA NA NA "BnaA05g09800D" "protein NUCLEAR FUSION DEFECTIVE 6, mitochondrial" "LOC106347200" 3.40291843789966 9.35402082037893e-05
"106347220" "GO:0001934" "BP" "receptor for activated C kinase 1C" "positive regulation of protein phosphorylation" "BnaA01g26980D" "receptor for activated C kinase 1C" "LOC106347220" 2.49977848414872 1.30467167572855e-06
"106347220" "GO:0072344" "BP" "receptor for activated C kinase 1C" "rescue of stalled ribosome" "BnaA01g26980D" "receptor for activated C kinase 1C" "LOC106347220" 2.49977848414872 1.30467167572855e-06
"106347225" "GO:0016575" "BP" "paired amphipathic helix protein Sin3-like 4" "histone deacetylation" "BnaC06g31140D" "paired amphipathic helix protein Sin3-like 4" "LOC106347225" 1.24602803175646 0.00365540140709091
"106347225" "GO:0000122" "BP" "paired amphipathic helix protein Sin3-like 4" "negative regulation of transcription by RNA polymerase II" "BnaC06g31140D" "paired amphipathic helix protein Sin3-like 4" "LOC106347225" 1.24602803175646 0.00365540140709091
"106347267" "GO:0000387" "BP" "small nuclear ribonucleoprotein SmD3b" "spliceosomal snRNP assembly" "BnaC05g15890D" "small nuclear ribonucleoprotein SmD3b" "LOC106347267" 1.86574411637917 0.000408717648691188
"106347282" "GO:0009631" "BP" "dehydrin ERD10-like" "cold acclimation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282" 2.58370313288501 2.43218170475498e-07
"106347282" "GO:0009737" "BP" "dehydrin ERD10-like" "response to abscisic acid" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282" 2.58370313288501 2.43218170475498e-07
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282" 2.58370313288501 2.43218170475498e-07
"106347295" "GO:0015979" "BP" "pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1" "photosynthesis" "BnaA06g38560D" "pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1" "LOC106347295" 2.40331795599558 4.98846529115876e-06
"106347295" "GO:0009749" "BP" "pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1" "response to glucose" "BnaA06g38560D" "pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1" "LOC106347295" 2.40331795599558 4.98846529115876e-06
"106347300" "GO:0010274" "BP" "protein MIZU-KUSSEI 1" "hydrotropism" "BnaA06g14860D" "protein MIZU-KUSSEI 1" "LOC106347300" 8.48086030062862 7.25134558830324e-10
"106347365" NA NA NA NA "BnaA06g15270D" "probable acyl-activating enzyme 9" "LOC106347365" 5.84049398120063 0.000916816591382368
"106347387" "GO:0006468" "BP" "probable inactive receptor kinase RLK902" "protein phosphorylation" "BnaA01g36890D" "probable inactive receptor kinase RLK902" "LOC106347387" 1.94271268994009 0.000173867137196161
"106347447" "GO:0006412" "BP" "60S ribosomal protein L13-1-like" "translation" "BnaA06g16250D" "60S ribosomal protein L13-1-like" "LOC106347447" 2.74251593137467 1.0437941616782e-09
"106347449" "GO:0045900" "BP" "signal recognition particle 9 kDa protein" "negative regulation of translational elongation" "BnaC08g20790D" "signal recognition particle 9 kDa protein" "LOC106347449" 2.12203228703626 0.00019549347631413
"106347449" "GO:0006614" "BP" "signal recognition particle 9 kDa protein" "SRP-dependent cotranslational protein targeting to membrane" "BnaC08g20790D" "signal recognition particle 9 kDa protein" "LOC106347449" 2.12203228703626 0.00019549347631413
"106347452" "GO:0006412" "BP" "40S ribosomal protein S11-3" "translation" "BnaA06g38660D" "40S ribosomal protein S11-3" "LOC106347452" 2.56760628003899 4.90618363074676e-09
"106347538" "GO:0009228" "BP" "thiamine biosynthetic bifunctional enzyme BTH1, chloroplastic" "thiamine biosynthetic process" "BnaA09g30250D" "thiamine biosynthetic bifunctional enzyme BTH1, chloroplastic" "LOC106347538" 1.77260865823873 0.00174632451976118
"106347538" "GO:0009229" "BP" "thiamine biosynthetic bifunctional enzyme BTH1, chloroplastic" "thiamine diphosphate biosynthetic process" "BnaA09g30250D" "thiamine biosynthetic bifunctional enzyme BTH1, chloroplastic" "LOC106347538" 1.77260865823873 0.00174632451976118
"106347558" "GO:0000226" "BP" "tubulin beta-2 chain" "microtubule cytoskeleton organization" "BnaC03g56170D" "tubulin beta-2 chain" "LOC106347558" 1.22002034449411 0.00956485256056518
"106347558" "GO:0007017" "BP" "tubulin beta-2 chain" "microtubule-based process" "BnaC03g56170D" "tubulin beta-2 chain" "LOC106347558" 1.22002034449411 0.00956485256056518
"106347558" "GO:0000278" "BP" "tubulin beta-2 chain" "mitotic cell cycle" "BnaC03g56170D" "tubulin beta-2 chain" "LOC106347558" 1.22002034449411 0.00956485256056518
"106347632" "GO:0051301" "BP" "microtubule-associated protein RP/EB family member 1A" "cell division" "BnaA06g17210D" "microtubule-associated protein RP/EB family member 1A" "LOC106347632" 1.69410228211596 0.00274543871115244
"106347632" "GO:1904825" "BP" "microtubule-associated protein RP/EB family member 1A" "protein localization to microtubule plus-end" "BnaA06g17210D" "microtubule-associated protein RP/EB family member 1A" "LOC106347632" 1.69410228211596 0.00274543871115244
"106347632" "GO:0031110" "BP" "microtubule-associated protein RP/EB family member 1A" "regulation of microtubule polymerization or depolymerization" "BnaA06g17210D" "microtubule-associated protein RP/EB family member 1A" "LOC106347632" 1.69410228211596 0.00274543871115244
"106347632" "GO:0051225" "BP" "microtubule-associated protein RP/EB family member 1A" "spindle assembly" "BnaA06g17210D" "microtubule-associated protein RP/EB family member 1A" "LOC106347632" 1.69410228211596 0.00274543871115244
"106347632" "GO:0009652" "BP" "microtubule-associated protein RP/EB family member 1A" "thigmotropism" "BnaA06g17210D" "microtubule-associated protein RP/EB family member 1A" "LOC106347632" 1.69410228211596 0.00274543871115244
"106347711" "GO:0000226" "BP" "tubulin beta-2 chain" "microtubule cytoskeleton organization" "BnaC03g75120D" "tubulin beta-2 chain" "LOC106347711" 1.61998214699852 0.00276667173711707
"106347711" "GO:0007017" "BP" "tubulin beta-2 chain" "microtubule-based process" "BnaC03g75120D" "tubulin beta-2 chain" "LOC106347711" 1.61998214699852 0.00276667173711707
"106347711" "GO:0000278" "BP" "tubulin beta-2 chain" "mitotic cell cycle" "BnaC03g75120D" "tubulin beta-2 chain" "LOC106347711" 1.61998214699852 0.00276667173711707
"106347736" "GO:0018230" "BP" "probable protein S-acyltransferase 7" "peptidyl-L-cysteine S-palmitoylation" "BnaC02g36500D" "probable protein S-acyltransferase 7" "LOC106347736" 2.4797805696016 0.00691008353156986
"106347736" "GO:0006612" "BP" "probable protein S-acyltransferase 7" "protein targeting to membrane" "BnaC02g36500D" "probable protein S-acyltransferase 7" "LOC106347736" 2.4797805696016 0.00691008353156986
"106347747" "GO:0009086" "BP" "methylthioribose kinase" "methionine biosynthetic process" "BnaCnng26130D" "methylthioribose kinase" "LOC106347747" 1.58176776526646 0.00658488466726375
"106347748" NA NA NA NA "BnaCnng72430D" "transcription factor HHO6" "LOC106347748" 2.13295235760411 0.000775549660412869
"106347810" "GO:0043666" "BP" "protein phosphatase inhibitor 2" "regulation of phosphoprotein phosphatase activity" "BnaC09g28300D" "protein phosphatase inhibitor 2" "LOC106347810" 1.99688568990791 2.57078040351782e-06
"106347810" "GO:0009966" "BP" "protein phosphatase inhibitor 2" "regulation of signal transduction" "BnaC09g28300D" "protein phosphatase inhibitor 2" "LOC106347810" 1.99688568990791 2.57078040351782e-06
"106347811" "GO:0007064" "BP" "putative uncharacterized protein DDB_G0287975" "mitotic sister chromatid cohesion" "BnaC09g28320D" "putative uncharacterized protein DDB_G0287975" "LOC106347811" 1.68176182075361 0.00786637166749298
"106347893" "GO:0006355" "BP" "NAC domain-containing protein 82-like" "regulation of DNA-templated transcription" "BnaC03g50150D" "NAC domain-containing protein 82-like" "LOC106347893" 1.32532343459993 0.014573280942969
"106347914" NA NA NA NA "BnaAnng22690D" "mediator of RNA polymerase II transcription subunit 30" "LOC106347914" 2.78980570305277 0.00198198239494743
"106347936" NA NA NA NA "BnaA06g22890D" "uncharacterized BNAA06G22890D" "BNAA06G22890D" 2.40853059622777 1.08189958915433e-07
"106347994" "GO:0006412" "BP" "50S ribosomal protein L29, chloroplastic" "translation" "BnaA06g24150D" "50S ribosomal protein L29, chloroplastic" "LOC106347994" 2.89710442130046 2.52024842192478e-06
"106348053" "GO:0007005" "BP" "coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial" "mitochondrion organization" "BnaAnng15100D" "coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial" "LOC106348053" 1.27972480232002 0.000249338270586868
"106348071" "GO:0007623" "BP" "protein LNK1" "circadian rhythm" "BnaA06g23320D" "protein LNK1" "BNAA06G23320D" 1.17684536338595 0.0146226338311377
"106348071" "GO:0006355" "BP" "protein LNK1" "regulation of DNA-templated transcription" "BnaA06g23320D" "protein LNK1" "BNAA06G23320D" 1.17684536338595 0.0146226338311377
"106348074" NA NA NA NA "BnaA06g23310D" "uncharacterized BNAA06G23310D" "BNAA06G23310D" 2.11956227984453 0.000114406562953891
"106348099" "GO:0042546" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "cell wall biogenesis" "BnaCnng13310D" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "LOC106348099" 3.41797088009251 0.0150419721075913
"106348099" "GO:0071555" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "cell wall organization" "BnaCnng13310D" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "LOC106348099" 3.41797088009251 0.0150419721075913
"106348099" "GO:0010411" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "xyloglucan metabolic process" "BnaCnng13310D" "probable xyloglucan endotransglucosylase/hydrolase protein 6" "LOC106348099" 3.41797088009251 0.0150419721075913
"106348102" NA NA NA NA "BnaCnng13240D" "probable sphingolipid transporter spinster homolog 1" "LOC106348102" 3.28578346952862 1.3956180257037e-13
"106348135" "GO:0045454" "BP" "thioredoxin reductase 1, mitochondrial" "cell redox homeostasis" "BnaA03g53300D" "thioredoxin reductase 1, mitochondrial" "LOC106348135" 1.96161301757823 0.000257903410017844
"106348135" "GO:0019430" "BP" "thioredoxin reductase 1, mitochondrial" "removal of superoxide radicals" "BnaA03g53300D" "thioredoxin reductase 1, mitochondrial" "LOC106348135" 1.96161301757823 0.000257903410017844
"106348143" "GO:0006412" "BP" "54S ribosomal protein L19, mitochondrial" "translation" "BnaA03g53350D" "54S ribosomal protein L19, mitochondrial" "LOC106348143" 1.31706667042668 0.00165005257653375
