"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "ERD10"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "LOC106347282"
"106347282" "GO:0009414" "BP" "dehydrin ERD10-like" "response to water deprivation" "BnaC05g15780D" "dehydrin ERD10-like" "dehydrin"
"106347347" "GO:0019438" "BP" "indole glucosinolate O-methyltransferase 4" "aromatic compound biosynthetic process" "BnaA06g14950D" "indole glucosinolate O-methyltransferase 4" "LOC106347347"
"106347347" "GO:0032259" "BP" "indole glucosinolate O-methyltransferase 4" "methylation" "BnaA06g14950D" "indole glucosinolate O-methyltransferase 4" "LOC106347347"
"106347387" "GO:0006468" "BP" "probable inactive receptor kinase RLK902" "protein phosphorylation" "BnaA01g36890D" "probable inactive receptor kinase RLK902" "LOC106347387"
"106347415" "GO:0019483" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "beta-alanine biosynthetic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415"
"106347415" "GO:0006210" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "thymine catabolic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415"
"106347415" "GO:0006212" "BP" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "uracil catabolic process" "BnaA01g27800D" "dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic" "LOC106347415"
"106347525" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106347525"
"106347525" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106347525"
"106347525" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106347525"
"106347525" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106347525"
"106347525" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106347525"
"106347936" NA NA NA NA "BnaA06g22890D" "uncharacterized BNAA06G22890D" "BNAA06G22890D"
"106348064" NA NA NA NA "BnaA06g23430D" "classical arabinogalactan protein 1-like" "LOC106348064"
"106348102" NA NA NA NA "BnaCnng13240D" "probable sphingolipid transporter spinster homolog 1" "LOC106348102"
"106348325" "GO:0006412" "BP" "50S ribosomal protein L24-like" "translation" "BnaC09g04830D" "50S ribosomal protein L24-like" "LOC106348325"
"106348367" NA NA NA NA "BnaA04g17960D" "uncharacterized BNAA04G17960D" "BNAA04G17960D"
"106348371" "GO:0006749" "BP" "glutathione S-transferase F9" "glutathione metabolic process" "BnaA04g17910D" "glutathione S-transferase F9" "LOC106348371"
"106348371" "GO:0042221" "BP" "glutathione S-transferase F9" "response to chemical" "BnaA04g17910D" "glutathione S-transferase F9" "LOC106348371"
"106348398" NA NA NA NA "BnaA04g17570D" "trans-cinnamate 4-monooxygenase-like" "LOC106348398"
"106348398" NA NA NA NA "BnaA04g17570D" "trans-cinnamate 4-monooxygenase-like" "C4H-BN-7"
"106348398" NA NA NA NA "BnaA04g17570D" "trans-cinnamate 4-monooxygenase-like" "C4H"
"106348443" NA NA NA NA "BnaC06g06810D" "GDSL esterase/lipase At1g54020" "LOC106348443"
"106348639" NA NA NA NA "BnaC07g49430D" "trihelix transcription factor GTL2" "LOC106348639"
"106348644" "GO:0006412" "BP" "40S ribosomal protein S24-1" "translation" "BnaA01g33350D" "40S ribosomal protein S24-1" "LOC106348644"
"106349011" "GO:0005975" "BP" "acid beta-fructofuranosidase 3, vacuolar" "carbohydrate metabolic process" "BnaA09g12880D" "acid beta-fructofuranosidase 3, vacuolar" "LOC106349011"
"106349374" "GO:0060261" "BP" "mediator-associated protein 3" "positive regulation of transcription initiation by RNA polymerase II" "BnaCnng39040D" "mediator-associated protein 3" "LOC106349374"
"106349439" NA NA NA NA "BnaC07g48750D" "DExH-box ATP-dependent RNA helicase DExH5, mitochondrial" "LOC106349439"
"106349478" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "protein folding" "BnaA06g37360D" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "LOC106349478"
"106349478" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "protein peptidyl-prolyl isomerization" "BnaA06g37360D" "peptidyl-prolyl cis-trans isomerase CYP18-3-like" "LOC106349478"
"106349612" NA NA NA NA "BnaA01g28600D" "late embryogenesis abundant protein 76-like" "LOC106349612"
"106350482" "GO:0006749" "BP" "glutathione S-transferase U17" "glutathione metabolic process" "BnaC05g07900D" "glutathione S-transferase U17" "LOC106350482"
"106350482" "GO:0009407" "BP" "glutathione S-transferase U17" "toxin catabolic process" "BnaC05g07900D" "glutathione S-transferase U17" "LOC106350482"
"106350973" NA NA NA NA "BnaA06g00380D" "arabinogalactan protein 21" "LOC106350973"
"106351149" "GO:0006952" "BP" "MLP-like protein 328" "defense response" "BnaA01g31910D" "MLP-like protein 328" "LOC106351149"
"106351260" "GO:0032366" "BP" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "intracellular sterol transport" "BnaAnng09460D" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "LOC106351260"
"106351260" "GO:0015918" "BP" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "sterol transport" "BnaAnng09460D" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "LOC106351260"
"106351356" "GO:0006468" "BP" "U-box domain-containing protein 35" "protein phosphorylation" "BnaA06g11260D" "U-box domain-containing protein 35" "LOC106351356"
"106351361" NA NA NA NA "BnaAnng27380D" "vitellogenin" "LOC106351361"
"106351424" "GO:0010030" "BP" "protein MOTHER of FT and TFL1" "positive regulation of seed germination" "BnaA06g12320D" "protein MOTHER of FT and TFL1" "LOC106351424"
"106351424" "GO:0009737" "BP" "protein MOTHER of FT and TFL1" "response to abscisic acid" "BnaA06g12320D" "protein MOTHER of FT and TFL1" "LOC106351424"
"106351654" "GO:0006598" "BP" "polyamine oxidase 2" "polyamine catabolic process" "BnaA04g24770D" "polyamine oxidase 2" "LOC106351654"
"106351715" NA NA NA NA "BnaA06g17220D" "uncharacterized BNAA06G17220D" "BNAA06G17220D"
"106351984" NA NA NA NA "BnaA09g44390D" "germin-like protein subfamily T member 2" "LOC106351984"
"106352119" NA NA NA NA "BnaAnng40370D" "extensin" "LOC106352119"
"106352194" "GO:0006401" "BP" "ribonuclease 1" "RNA catabolic process" "BnaA02g26660D" "ribonuclease 1" "LOC106352194"
"106352420" NA NA NA NA "BnaA06g32660D" "B3 domain-containing transcription factor FUS3" "LOC106352420"
"106352613" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106352613"
"106352613" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106352613"
"106352613" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106352613"
"106352613" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106352613"
"106352613" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106352613"
"106353239" "GO:0005975" "BP" "probable glucan endo-1,3-beta-glucosidase BG3" "carbohydrate metabolic process" "BnaCnng07500D" "probable glucan endo-1,3-beta-glucosidase BG3" "LOC106353239"
"106353239" "GO:0005975" "BP" "probable glucan endo-1,3-beta-glucosidase BG3" "carbohydrate metabolic process" "BnaA07g17230D" "probable glucan endo-1,3-beta-glucosidase BG3" "LOC106353239"
"106353239" "GO:0005975" "BP" "probable glucan endo-1,3-beta-glucosidase BG3" "carbohydrate metabolic process" "BnaCnng07500D" "probable glucan endo-1,3-beta-glucosidase BG3" "LOC106353239"
"106353239" "GO:0005975" "BP" "probable glucan endo-1,3-beta-glucosidase BG3" "carbohydrate metabolic process" "BnaA07g17230D" "probable glucan endo-1,3-beta-glucosidase BG3" "LOC106353239"
"106353434" NA NA NA NA "BnaA07g38400D" "EP1-like glycoprotein 3" "LOC106353434"
"106353625" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaA07g22790D" "aquaporin TIP3-1-like" "LOC106353625"
"106353625" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaC06g23750D" "aquaporin TIP3-1-like" "LOC106353625"
"106353625" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaA07g22790D" "aquaporin TIP3-1-like" "LOC106353625"
"106353625" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaC06g23750D" "aquaporin TIP3-1-like" "LOC106353625"
"106354068" "GO:0045901" "BP" "eukaryotic translation initiation factor 5A-3" "positive regulation of translational elongation" "BnaA07g27940D" "eukaryotic translation initiation factor 5A-3" "LOC106354068"
"106354068" "GO:0045905" "BP" "eukaryotic translation initiation factor 5A-3" "positive regulation of translational termination" "BnaA07g27940D" "eukaryotic translation initiation factor 5A-3" "LOC106354068"
"106354302" NA NA NA NA "BnaA07g39060D" "E3 ubiquitin-protein ligase MBR1" "LOC106354302"
"106354405" "GO:0035556" "BP" "calcium-dependent protein kinase 30" "intracellular signal transduction" "BnaA07g31710D" "calcium-dependent protein kinase 30" "LOC106354405"
"106354405" "GO:0035556" "BP" "calcium-dependent protein kinase 30" "intracellular signal transduction" "BnaA07g31710D" "calcium-dependent protein kinase 30" "CPK30.1"
