"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS" "log2FoldChange" "padj"
"106351260" "GO:0015918" "BP" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "sterol transport" "BnaAnng09460D" "putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179" "LOC106351260" -1.65633839923937 0.048858077474499
"106351424" "GO:0010030" "BP" "protein MOTHER of FT and TFL1" "positive regulation of seed germination" "BnaA06g12320D" "protein MOTHER of FT and TFL1" "LOC106351424" -5.29293726641721 7.58072089493116e-13
"106351424" "GO:0009737" "BP" "protein MOTHER of FT and TFL1" "response to abscisic acid" "BnaA06g12320D" "protein MOTHER of FT and TFL1" "LOC106351424" -5.29293726641721 7.58072089493116e-13
"106351463" "GO:0009733" "BP" "auxin-responsive protein SAUR50" "response to auxin" "BnaA06g14030D" "auxin-responsive protein SAUR50" "LOC106351463" -2.59979180191635 0.0328837669779354
"106352036" "GO:0007142" "BP" "protein JASON" "male meiosis II" "BnaA04g17850D" "protein JASON" "LOC106352036" 2.13465023809356 0.0397486709378497
"106352050" "GO:0016567" "BP" "E3 ubiquitin-protein ligase RHA1B" "protein ubiquitination" "BnaA04g17360D" "E3 ubiquitin-protein ligase RHA1B" "LOC106352050" -2.09458597284769 0.0103095590688692
"106352055" NA NA NA NA "BnaA04g17250D" "F-box/kelch-repeat protein At4g38940" "LOC106352055" 6.66457019877668 0.000151649546690917
"106352125" "GO:0032259" "BP" "paraxanthine methyltransferase 1" "methylation" "BnaC06g27540D" "paraxanthine methyltransferase 1" "LOC106352125" 6.03899652369793 0.0022715971863566
"106352158" "GO:0009299" "BP" "protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1" "mRNA transcription" "BnaC07g49400D" "protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1" "LOC106352158" 6.74892127928352 0.000121899188565782
"106352158" "GO:0009416" "BP" "protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1" "response to light stimulus" "BnaC07g49400D" "protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1" "LOC106352158" 6.74892127928352 0.000121899188565782
"106352420" NA NA NA NA "BnaA06g32660D" "B3 domain-containing transcription factor FUS3" "LOC106352420" -2.52924767894007 3.42011424495384e-06
"106352551" "GO:0006396" "BP" "putative TrmH family tRNA/rRNA methyltransferase" "RNA processing" "BnaA01g18460D" "putative TrmH family tRNA/rRNA methyltransferase" "LOC106352551" 1.5633125127441 0.00845285548325789
"106352937" "GO:0051301" "BP" "condensin complex subunit 2" "cell division" "BnaC04g12240D" "condensin complex subunit 2" "LOC106352937" 1.17309552616415 0.0168404534625823
"106352937" "GO:0007076" "BP" "condensin complex subunit 2" "mitotic chromosome condensation" "BnaC04g12240D" "condensin complex subunit 2" "LOC106352937" 1.17309552616415 0.0168404534625823
"106352994" "GO:0050896" "BP" "uncharacterized LOC106352994" "response to stimulus" "BnaC03g36250D" "uncharacterized LOC106352994" "LOC106352994" -1.54346940732037 0.042494644380766
"106353071" NA NA NA NA "BnaA01g23800D" "uncharacterized BNAA01G23800D" "BNAA01G23800D" 1.30179126094421 0.0072885393763797
"106353685" "GO:0016192" "BP" "vesicle-associated membrane protein 727-like" "vesicle-mediated transport" "BnaC06g15130D" "vesicle-associated membrane protein 727-like" "LOC106353685" -1.31016016643047 0.00517080962831008
"106353821" NA NA NA NA "BnaA07g24080D" "protein NRT1/ PTR FAMILY 2.13" "LOC106353821" -2.96564059395542 0.00804334699456335
"106354073" "GO:0006355" "BP" "NAC transcription factor 29-like" "regulation of DNA-templated transcription" "BnaA07g28000D" "NAC transcription factor 29-like" "LOC106354073" 6.09449402771892 0.00054306140378483
"106354405" "GO:0035556" "BP" "calcium-dependent protein kinase 30" "intracellular signal transduction" "BnaA07g31710D" "calcium-dependent protein kinase 30" "LOC106354405" -2.21266955690693 0.0417954928603232
"106354405" "GO:0018105" "BP" "calcium-dependent protein kinase 30" "peptidyl-serine phosphorylation" "BnaA07g31710D" "calcium-dependent protein kinase 30" "LOC106354405" -2.21266955690693 0.0417954928603232
"106354405" "GO:0046777" "BP" "calcium-dependent protein kinase 30" "protein autophosphorylation" "BnaA07g31710D" "calcium-dependent protein kinase 30" "LOC106354405" -2.21266955690693 0.0417954928603232
"106354425" "GO:0016117" "BP" "phytoene synthase, chloroplastic-like" "carotenoid biosynthetic process" "BnaA02g03450D" "phytoene synthase, chloroplastic-like" "BnaA.PSY.d" 3.27591995126198 0.0440663328192652
"106354477" "GO:0007094" "BP" "mitotic checkpoint protein BUB3.3" "mitotic spindle assembly checkpoint signaling" "BnaC02g19170D" "mitotic checkpoint protein BUB3.3" "LOC106354477" 1.52159403977506 0.0214039940133744
"106354480" NA NA NA NA "BnaC02g19140D" "uncharacterized BNAC02G19140D" "BNAC02G19140D" -1.05414427747635 0.016534889209899
"106354488" "GO:0043622" "BP" "protein SPIRAL1-like 1" "cortical microtubule organization" "BnaCnng26280D" "protein SPIRAL1-like 1" "LOC106354488" -3.18143801103196 9.82432076908619e-07
"106354506" NA NA NA NA "BnaA07g32030D" "isoflavone reductase homolog P3" "LOC106354506" 5.72509801901021 0.0057622883154709
"106354536" "GO:0009736" "BP" "two-component response regulator ARR15" "cytokinin-activated signaling pathway" "BnaA07g31820D" "two-component response regulator ARR15" "LOC106354536" 5.26175878903993 0.0210873432727893
"106354536" "GO:0000160" "BP" "two-component response regulator ARR15" "phosphorelay signal transduction system" "BnaA07g31820D" "two-component response regulator ARR15" "LOC106354536" 5.26175878903993 0.0210873432727893
"106354700" "GO:0016121" "BP" "9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic" "carotene catabolic process" "BnaA07g39250D" "9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic" "LOC106354700" -2.84667021628995 0.0296630248797906
"106354724" NA NA NA NA "BnaA01g05890D" "selenoprotein H" "LOC106354724" -2.6898221856543 0.0462928419616993
"106356512" "GO:0006355" "BP" "NAC domain-containing protein 105-like" "regulation of DNA-templated transcription" "BnaC07g16780D" "NAC domain-containing protein 105-like" "NAC105.1" 5.64641405971236 0.00736104897444748
"106357060" "GO:0045944" "BP" "agamous-like MADS-box protein AGL14" "positive regulation of transcription by RNA polymerase II" "BnaC09g23670D" "agamous-like MADS-box protein AGL14" "LOC106357060" 2.05214572916709 0.0288940644911539
"106357060" "GO:0006357" "BP" "agamous-like MADS-box protein AGL14" "regulation of transcription by RNA polymerase II" "BnaC09g23670D" "agamous-like MADS-box protein AGL14" "LOC106357060" 2.05214572916709 0.0288940644911539
"106357301" "GO:0009851" "BP" "protein SHI RELATED SEQUENCE 5" "auxin biosynthetic process" "BnaAnng31570D" "protein SHI RELATED SEQUENCE 5" "LOC106357301" 4.51539210522555 0.0339263642887766
"106357301" "GO:0009734" "BP" "protein SHI RELATED SEQUENCE 5" "auxin-activated signaling pathway" "BnaAnng31570D" "protein SHI RELATED SEQUENCE 5" "LOC106357301" 4.51539210522555 0.0339263642887766
"106357301" "GO:0045893" "BP" "protein SHI RELATED SEQUENCE 5" "positive regulation of DNA-templated transcription" "BnaAnng31570D" "protein SHI RELATED SEQUENCE 5" "LOC106357301" 4.51539210522555 0.0339263642887766
"106357302" "GO:0045893" "BP" "dehydration-responsive element-binding protein 2D" "positive regulation of DNA-templated transcription" "BnaAnng09170D" "dehydration-responsive element-binding protein 2D" "LOC106357302" -5.71443632175143 0.0141246828184938
"106357407" "GO:0009567" "BP" "uncharacterized LOC106357407" "double fertilization forming a zygote and endosperm" "BnaC02g44830D" "uncharacterized LOC106357407" "LOC106357407" -5.91070386519848 0.0487573895959612
"106357407" "GO:0080155" "BP" "uncharacterized LOC106357407" "regulation of double fertilization forming a zygote and endosperm" "BnaC02g44830D" "uncharacterized LOC106357407" "LOC106357407" -5.91070386519848 0.0487573895959612
"106357407" "GO:2000008" "BP" "uncharacterized LOC106357407" "regulation of protein localization to cell surface" "BnaC02g44830D" "uncharacterized LOC106357407" "LOC106357407" -5.91070386519848 0.0487573895959612
"106357488" "GO:0090391" "BP" "protein LHCP TRANSLOCATION DEFECT" "granum assembly" "BnaA05g20390D" "protein LHCP TRANSLOCATION DEFECT" "LOC106357488" 2.96262293320139 0.0493026870331462
"106357488" "GO:0006886" "BP" "protein LHCP TRANSLOCATION DEFECT" "intracellular protein transport" "BnaA05g20390D" "protein LHCP TRANSLOCATION DEFECT" "LOC106357488" 2.96262293320139 0.0493026870331462
"106358410" NA NA NA NA "BnaC07g16900D" "protein SYM1" "LOC106358410" 2.14276358677661 0.000410454983899851
"106358567" NA NA NA NA "BnaC09g12130D" "ABC transporter F family member 3" "LOC106358567" 1.17539907774532 0.0427567426799759
"106358976" "GO:0006355" "BP" "transcription factor MYB54" "regulation of DNA-templated transcription" "BnaC03g66570D" "transcription factor MYB54" "LOC106358976" -6.24192727314161 0.0177794733755744
"106359749" "GO:0009733" "BP" "auxin-responsive protein SAUR21" "response to auxin" "BnaC03g65990D" "auxin-responsive protein SAUR21" "LOC106359749" 6.14992792892981 0.00186225095026456
"106360076" NA NA NA NA "BnaC03g57500D" "uncharacterized BNAC03G57500D" "BNAC03G57500D" -2.25900336268951 0.0204901725298588
"106360226" "GO:0006913" "BP" "nuclear transport factor 2B" "nucleocytoplasmic transport" "BnaA08g25250D" "nuclear transport factor 2B" "LOC106360226" -1.70192930618498 0.0313773894568322
"106360403" "GO:0000278" "BP" "serine/threonine-protein phosphatase PP2A-5 catalytic subunit" "mitotic cell cycle" "BnaCnng22530D" "serine/threonine-protein phosphatase PP2A-5 catalytic subunit" "LOC106360403" -1.22753114177024 0.0194629713710038
"106360628" "GO:0000272" "BP" "beta-amylase 5" "polysaccharide catabolic process" "BnaA08g05660D" "beta-amylase 5" "LOC106360628" 1.54818959416234 0.0302410343460468
"106360642" NA NA NA NA "BnaC03g22540D" "probable acylpyruvase FAHD1, mitochondrial" "LOC106360642" -1.39325286079722 0.00468071618218254
"106361193" "GO:0090630" "BP" "rab GTPase-activating protein 22" "activation of GTPase activity" "BnaA08g13650D" "rab GTPase-activating protein 22" "LOC106361193" -1.78733042254458 0.00488558932319962
"106361214" NA NA NA NA "BnaA08g13940D" "ethylene-responsive transcription factor CRF4" "LOC106361214" 1.76145574802257 0.0315856690013725
"106361215" "GO:1990542" "BP" "mitochondrial carrier protein MTM1" "mitochondrial transmembrane transport" "BnaA08g13960D" "mitochondrial carrier protein MTM1" "LOC106361215" 1.25278948846778 0.0149330939353166
"106361254" NA NA NA NA "BnaA05g13800D" "arabinogalactan protein 21-like" "LOC106361254" -1.31211155044199 0.0401331679478939
"106361423" "GO:0051028" "BP" "nuclear pore complex protein NUP58-like" "mRNA transport" "BnaA08g15500D" "nuclear pore complex protein NUP58-like" "LOC106361423" 1.54149552153981 0.00381171141149333
"106361423" "GO:0015031" "BP" "nuclear pore complex protein NUP58-like" "protein transport" "BnaA08g15500D" "nuclear pore complex protein NUP58-like" "LOC106361423" 1.54149552153981 0.00381171141149333
"106361468" "GO:0006457" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3" "protein folding" "BnaC03g60160D" "peptidyl-prolyl cis-trans isomerase CYP18-3" "LOC106361468" -1.67504586397732 0.000161737561683388
"106361468" "GO:0000413" "BP" "peptidyl-prolyl cis-trans isomerase CYP18-3" "protein peptidyl-prolyl isomerization" "BnaC03g60160D" "peptidyl-prolyl cis-trans isomerase CYP18-3" "LOC106361468" -1.67504586397732 0.000161737561683388
"106361831" NA NA NA NA "BnaA02g07040D" "suppressor of disruption of TFIIS" "LOC106361831" 5.15490796115728 0.0250988573860471
"106361947" NA NA NA NA "BnaC08g20270D" "uncharacterized BNAC08G20270D" "BNAC08G20270D" 1.19433770151806 0.0194467249256685
"106361954" NA NA NA NA "BnaAnng18150D" "glycosyltransferase family 92 protein At1g27200" "LOC106361954" 2.89758532648908 0.0016309002755697
"106362044" "GO:0006012" "BP" "bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1" "galactose metabolic process" "BnaC08g15730D" "bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1" "LOC106362044" -1.06125190852292 0.0235113893344964
"106362044" "GO:0006364" "BP" "bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1" "rRNA processing" "BnaC08g15730D" "bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1" "LOC106362044" -1.06125190852292 0.0235113893344964
"106362355" NA NA NA NA "BnaA08g26490D" "uncharacterized BNAA08G26490D" "BNAA08G26490D" 5.94062366468294 0.000657290229807817
"106362420" "GO:0042546" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "cell wall biogenesis" "BnaA08g25690D" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "LOC106362420" -3.73807806805218 0.000134677460847906
"106362420" "GO:0071555" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "cell wall organization" "BnaA08g25690D" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "LOC106362420" -3.73807806805218 0.000134677460847906
"106362420" "GO:0010411" "BP" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "xyloglucan metabolic process" "BnaA08g25690D" "probable xyloglucan endotransglucosylase/hydrolase protein 33" "LOC106362420" -3.73807806805218 0.000134677460847906
"106363379" "GO:0045893" "BP" "ABSCISIC ACID-INSENSITIVE 5-like protein 7" "positive regulation of DNA-templated transcription" "BnaC01g43800D" "ABSCISIC ACID-INSENSITIVE 5-like protein 7" "LOC106363379" 1.19646778704354 0.0417747849500681
"106363730" NA NA NA NA "BnaA09g43280D" "uncharacterized BNAA09G43280D" "BNAA09G43280D" 6.06843832478669 0.000338007516064613
"106364158" NA NA NA NA "BnaA09g52580D" "uncharacterized BNAA09G52580D" "BNAA09G52580D" 4.9544838359065 0.00321736696386398
"106364366" NA NA NA NA "BnaA09g17220D" "uncharacterized BNAA09G17220D" "BNAA09G17220D" 1.46087750694865 0.0437672978064251
"106364375" "GO:0042744" "BP" "peroxidase 7" "hydrogen peroxide catabolic process" "BnaCnng11080D" "peroxidase 7" "LOC106364375" -3.81383406399805 0.000378751520648912
"106364375" "GO:0006979" "BP" "peroxidase 7" "response to oxidative stress" "BnaCnng11080D" "peroxidase 7" "LOC106364375" -3.81383406399805 0.000378751520648912
"106364383" NA NA NA NA "BnaCnng77660D" "uncharacterized BNACNNG77660D" "BNACNNG77660D" -2.0944188928932 0.010509976204757
"106364393" NA NA NA NA "BnaC06g13760D" "GDSL esterase/lipase At5g41890" "LOC106364393" -3.21245411332961 0.0384323769967189
"106364468" NA NA NA NA "BnaA09g20040D" "uncharacterized BNAA09G20040D" "BNAA09G20040D" -4.42686332009237 0.00541308701108342
"106364473" NA NA NA NA "BnaA09g20330D" "uncharacterized BNAA09G20330D" "BNAA09G20330D" -4.14868206869263 0.0200287088976823
"106364528" "GO:1903259" "BP" "partner of Y14 and mago-like" "exon-exon junction complex disassembly" "BnaC08g14910D" "partner of Y14 and mago-like" "LOC106364528" 1.70958021123319 0.0221942616351968
"106364649" "GO:0072318" "BP" "J domain-containing protein required for chloroplast accumulation response 1" "clathrin coat disassembly" "BnaA09g26260D" "J domain-containing protein required for chloroplast accumulation response 1" "LOC106364649" 4.72641180049982 0.00626933549879269
"106364649" "GO:0072583" "BP" "J domain-containing protein required for chloroplast accumulation response 1" "clathrin-dependent endocytosis" "BnaA09g26260D" "J domain-containing protein required for chloroplast accumulation response 1" "LOC106364649" 4.72641180049982 0.00626933549879269
"106364686" NA NA NA NA "BnaA09g26710D" "oil body-associated protein 2C" "BNAA09G26710D" -4.60828395731938 0.000313080238541995
"106364891" "GO:0045944" "BP" "agamous-like MADS-box protein AGL9 homolog" "positive regulation of transcription by RNA polymerase II" "BnaAnng21750D" "agamous-like MADS-box protein AGL9 homolog" "LOC106364891" 6.98819117522441 5.71007581058091e-05
"106364891" "GO:0006357" "BP" "agamous-like MADS-box protein AGL9 homolog" "regulation of transcription by RNA polymerase II" "BnaAnng21750D" "agamous-like MADS-box protein AGL9 homolog" "LOC106364891" 6.98819117522441 5.71007581058091e-05
"106364938" "GO:0050896" "BP" "heavy metal-associated isoprenylated plant protein 45" "response to stimulus" "BnaA09g36190D" "heavy metal-associated isoprenylated plant protein 45" "LOC106364938" -6.59304786379053 1.26924758718213e-05
"106365590" "GO:0006468" "BP" "cold-responsive protein kinase 1" "protein phosphorylation" "BnaC05g12740D" "cold-responsive protein kinase 1" "LOC106365590" -1.47024127233948 0.0321850550922695
"106365730" "GO:0097272" "BP" "ammonium transporter 1 member 2" "ammonium homeostasis" "BnaA09g00320D" "ammonium transporter 1 member 2" "LOC106365730" 4.53476602471728 0.0338194682082908
"106365730" "GO:0072488" "BP" "ammonium transporter 1 member 2" "ammonium transmembrane transport" "BnaA09g00320D" "ammonium transporter 1 member 2" "LOC106365730" 4.53476602471728 0.0338194682082908
"106365811" NA NA NA NA "BnaA09g03030D" "uncharacterized BNAA09G03030D" "BNAA09G03030D" -1.96895575286137 0.0118971905080358
"106365872" "GO:0006468" "BP" "shaggy-related protein kinase alpha" "protein phosphorylation" "BnaA09g04100D" "shaggy-related protein kinase alpha" "LOC106365872" -2.01335813380726 0.00114539982331676
"106365872" "GO:0007165" "BP" "shaggy-related protein kinase alpha" "signal transduction" "BnaA09g04100D" "shaggy-related protein kinase alpha" "LOC106365872" -2.01335813380726 0.00114539982331676
"106366054" "GO:0042752" "BP" "transcription factor TCP7" "regulation of circadian rhythm" "BnaA09g05400D" "transcription factor TCP7" "LOC106366054" 4.71299881473016 0.0227432269625087
"106366071" NA NA NA NA "BnaA09g05600D" "PLASMODESMATA CALLOSE-BINDING PROTEIN 1" "LOC106366071" 5.08948749379404 0.0284450619215374
"106366259" "GO:0046855" "BP" "SAL1 phosphatase-like" "inositol phosphate dephosphorylation" "BnaA09g06680D" "SAL1 phosphatase-like" "LOC106366259" -1.43325832234817 0.00888495788468961
"106366259" "GO:0000103" "BP" "SAL1 phosphatase-like" "sulfate assimilation" "BnaA09g06680D" "SAL1 phosphatase-like" "LOC106366259" -1.43325832234817 0.00888495788468961
"106366424" "GO:0030261" "BP" "histone H1" "chromosome condensation" "BnaA09g09460D" "histone H1" "LOC106366424" 1.85681730925066 0.00508453239928579
"106366424" "GO:0045910" "BP" "histone H1" "negative regulation of DNA recombination" "BnaA09g09460D" "histone H1" "LOC106366424" 1.85681730925066 0.00508453239928579
"106366424" "GO:0006334" "BP" "histone H1" "nucleosome assembly" "BnaA09g09460D" "histone H1" "LOC106366424" 1.85681730925066 0.00508453239928579
"106366425" "GO:0034599" "BP" "peptide methionine sulfoxide reductase A5" "cellular response to oxidative stress" "BnaA09g09450D" "peptide methionine sulfoxide reductase A5" "LOC106366425" -1.0382812008291 0.0347337331437922
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2" -1.44668568693279 0.0121790791623558
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2" -1.44668568693279 0.0121790791623558
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2" -1.44668568693279 0.0121790791623558
"106366663" NA NA NA NA "BnaA07g04580D" "uncharacterized BNAA07G04580D" "BNAA07G04580D" 3.30623425593022 0.0195913303317012
"106366708" "GO:0006189" "BP" "phosphoribosylglycinamide formyltransferase, chloroplastic" "'de novo' IMP biosynthetic process" "BnaCnng21160D" "phosphoribosylglycinamide formyltransferase, chloroplastic" "LOC106366708" 1.05455169041224 0.0491162188639044
"106366891" "GO:0015986" "BP" "ATP synthase gamma chain 1, chloroplastic" "proton motive force-driven ATP synthesis" "BnaA09g20320D" "ATP synthase gamma chain 1, chloroplastic" "LOC106366891" 2.8115703575308 0.0289715501297116
"106367034" "GO:0035970" "BP" "probable protein phosphatase 2C 10" "peptidyl-threonine dephosphorylation" "BnaAnng02130D" "probable protein phosphatase 2C 10" "LOC106367034" -1.88826187157588 0.0452117939931837
"106367149" NA NA NA NA "BnaA09g54200D" "rop guanine nucleotide exchange factor 14" "LOC106367149" 1.48221684333625 0.0083528392180546
"106367306" "GO:0043161" "BP" "WD repeat-containing protein ATCSA-1" "proteasome-mediated ubiquitin-dependent protein catabolic process" "BnaA09g27730D" "WD repeat-containing protein ATCSA-1" "LOC106367306" 1.43207796167044 0.0259867509299263
"106367306" "GO:0000209" "BP" "WD repeat-containing protein ATCSA-1" "protein polyubiquitination" "BnaA09g27730D" "WD repeat-containing protein ATCSA-1" "LOC106367306" 1.43207796167044 0.0259867509299263
"106367306" "GO:0006283" "BP" "WD repeat-containing protein ATCSA-1" "transcription-coupled nucleotide-excision repair" "BnaA09g27730D" "WD repeat-containing protein ATCSA-1" "LOC106367306" 1.43207796167044 0.0259867509299263
"106367336" NA NA NA NA "BnaA09g28080D" "uncharacterized BNAA09G28080D" "BNAA09G28080D" 3.00082396705312 0.0412025067241759
